Tournament,Player_Name,Team,Nationality,DOB,Right_Arm_Bowl,Right_Handed_Bat,Bowling_Style,Matched
T20 World Cup,Nurul Hasan,Bangladesh,Bangladeshi,1993-11-21,False,True,,True
T20 World Cup,Shuvagata Hom,Bangladesh,,,,,,False
T20 World Cup,Soumya Sarkar,Bangladesh,Bangladeshi,1993-02-25,True,False,MEDIUM_SEAM,True
T20 World Cup,Abu Hider,Bangladesh,Bangladeshi,1996-02-14,False,True,,True
T20 World Cup,Mustafizur Rahman,Bangladesh,Bangladeshi,1995-09-06,False,False,FAST_SEAM,True
T20 World Cup,Saqlain Sajib,Bangladesh,,,,,,False
T20 World Cup,Litton Das,Bangladesh,Bangladeshi,1994-10-13,True,True,,True
T20 World Cup,Mohammad Naim,Bangladesh,Bangladeshi,1999-08-22,False,False,,True
T20 World Cup,Afif Hossain,Bangladesh,Bangladeshi,1999-09-22,True,False,OFF_SPIN,True
T20 World Cup,Mahedi Hasan,Bangladesh,Bangladeshi,1994-12-12,True,True,OFF_SPIN,True
T20 World Cup,Shamim Hossain,Bangladesh,,,,,,False
T20 World Cup,Nasum Ahmed,Bangladesh,,,,,,False
T20 World Cup,Shoriful Islam,Bangladesh,Bangladeshi,2001-06-03,False,False,FAST_SEAM,True
T20 World Cup,Mosaddek Hossain,Bangladesh,Bangladeshi,1995-12-10,True,True,OFF_SPIN,True
T20 World Cup,Najmul Hossain Shanto,Bangladesh,Bangladeshi,1998-08-25,True,False,OFF_SPIN,True
T20 World Cup,Yasir Ali,Bangladesh,Bangladeshi,1996-03-06,True,True,,True
T20 World Cup,Mehidy Hasan Miraz,Bangladesh,,,,,,False
T20 World Cup,Ebadot Hossain,Bangladesh,,,,,,False
T20 World Cup,Hasan Mahmud,Bangladesh,Bangladeshi,1999-10-12,True,True,MEDIUM_SEAM,True
T20 World Cup,Jaker Ali,Bangladesh,,1998-02-22,,True,,True
T20 World Cup,Tanzid Hasan,Bangladesh,,2000-12-01,,False,,True
T20 World Cup,Towhid Hridoy,Bangladesh,,2000-12-04,,True,Right-arm off break,True
T20 World Cup,Rishad Hossain,Bangladesh,,2002-07-15,,True,Right-arm leg break,True
T20 World Cup,Tanvir Islam,Bangladesh,,1996-10-25,,False,Slow left-arm orthodox,True
T20 World Cup,Tanzim Hasan Sakib,Bangladesh,,2002-10-20,,True,Right-arm fast medium,True
T20 World Cup,Navneet Dhaliwal,Canada,,1988-10-10,,True,Right-arm medium,True
T20 World Cup,Aaron Johnson,Canada,CA,1991-03-16,True,True,,True
T20 World Cup,Shreyas Movva,Canada,,1993-09-04,,True,,True
T20 World Cup,Ravinderpal Singh,Canada,CA,1988-10-14,True,True,,True
T20 World Cup,Saad Bin Zafar,Canada,CA,1986-11-10,False,False,,True
T20 World Cup,Dilpreet Bajwa,Canada,,2001-01-04,,True,Right-arm off break,True
T20 World Cup,Junaid Siddiqui,Canada,Bangladeshi,1987-10-30,False,False,,True
T20 World Cup,Nicholas Kirton,Canada,CA,1998-05-06,True,False,MEDIUM_SEAM,True
T20 World Cup,Pargat Singh,Canada,CA,1992-04-13,True,True,,True
T20 World Cup,Rayyan Pathan,Canada,,1991-12-06,,True,Right-arm medium,True
T20 World Cup,Nikhil Dutta,Canada,CA,1994-10-13,True,True,,True
T20 World Cup,Jeremy Gordon,Canada,CA,1987-01-20,True,True,,True
T20 World Cup,Dilon Heyliger,Canada,,,,,,False
T20 World Cup,Rishiv Joshi,Canada,,2000-10-04,,True,Left-arm medium fast,True
T20 World Cup,Kaleem Sana,Canada,CA,1994-01-01,False,True,,True
T20 World Cup,Kevin Pietersen,England,English,1980-06-27,True,True,OFF_SPIN,True
T20 World Cup,Matt Prior,England,English,1982-02-26,False,True,,True
T20 World Cup,Owais Shah,England,,,,,,False
T20 World Cup,Vikram Solanki,England,,,,,,False
T20 World Cup,Luke Wright,England,English,1985-03-07,False,False,,True
T20 World Cup,Paul Collingwood,England,English,1976-05-26,True,True,MEDIUM_SEAM,True
T20 World Cup,Andrew Flintoff,England,English,1977-12-06,True,True,FAST_SEAM,True
T20 World Cup,Darren Maddy,England,,,,,,False
T20 World Cup,Dimitri Mascarenhas,England,,,,,,False
T20 World Cup,Chris Schofield,England,,,,,,False
T20 World Cup,James Anderson,England,English,1982-07-30,True,False,FAST_SEAM,True
T20 World Cup,Stuart Broad,England,English,1986-06-24,True,False,FAST_SEAM,True
T20 World Cup,James Kirtley,England,,,,,,False
T20 World Cup,Jeremy Snape,England,,,,,,False
T20 World Cup,Chris Tremlett,England,English,1981-09-02,False,True,,True
T20 World Cup,James Foster,England,,,,,,False
T20 World Cup,Rob Key,England,,,,,,False
T20 World Cup,Eoin Morgan,England,ENG,1986-09-10,True,False,MEDIUM_SEAM,True
T20 World Cup,Ravi Bopara,England,English,1985-05-04,False,True,,True
T20 World Cup,Graham Napier,England,,,,,,False
T20 World Cup,Adil Rashid,England,English,1988-02-17,True,True,LEG_SPIN,True
T20 World Cup,Ryan Sidebottom,England,,,,,,False
T20 World Cup,Graeme Swann,England,English,1979-03-24,True,True,OFF_SPIN,True
T20 World Cup,Craig Kieswetter,England,English,1987-11-28,False,True,,True
T20 World Cup,Michael Lumb,England,English,1980-12-02,False,True,,True
T20 World Cup,Tim Bresnan,England,English,1985-02-28,False,True,,True
T20 World Cup,James Tredwell,England,English,1982-02-27,False,False,,True
T20 World Cup,Michael Yardy,England,English,1980-11-27,False,True,,True
T20 World Cup,Ajmal Shahzad,England,English,1985-07-27,False,True,,True
T20 World Cup,Jonny Bairstow,England,English,1989-09-26,True,True,MEDIUM_SEAM,True
T20 World Cup,Jos Buttler,England,English,1990-09-08,True,True,,True
T20 World Cup,Alex Hales,England,English,1989-01-03,True,True,MEDIUM_SEAM,True
T20 World Cup,Samit Patel,England,English,1984-11-30,False,True,,True
T20 World Cup,Danny Briggs,England,,,,,,False
T20 World Cup,Jade Dernbach,England,English,1986-04-03,False,True,,True
T20 World Cup,Steven Finn,England,English,1989-04-04,False,True,,True
T20 World Cup,Ian Bell,England,English,1982-04-11,True,True,MEDIUM_SEAM,True
T20 World Cup,Moeen Ali,England,English,1987-06-18,True,False,OFF_SPIN,True
T20 World Cup,Chris Woakes,England,English,1989-03-02,True,True,FAST_SEAM,True
T20 World Cup,Chris Jordan,England,English,1988-10-04,True,True,FAST_SEAM,True
T20 World Cup,Stephen Parry,England,English,1986-01-12,False,True,,True
T20 World Cup,Sam Billings,England,English,1991-06-15,True,True,,True
T20 World Cup,Joe Root,England,English,1990-12-30,True,True,OFF_SPIN,True
T20 World Cup,Jason Roy,England,English,1990-07-21,True,True,,True
T20 World Cup,James Vince,England,English,1991-03-14,True,True,MEDIUM_SEAM,True
T20 World Cup,Liam Dawson,England,English,1990-03-01,False,True,,True
T20 World Cup,Ben Stokes,England,English,1991-06-04,True,False,FAST_SEAM,True
T20 World Cup,David Willey,England,English,1990-02-28,False,False,FAST_SEAM,True
T20 World Cup,Liam Plunkett,England,English,1985-04-06,True,True,FAST_SEAM,True
T20 World Cup,Reece Topley,England,English,1994-02-21,False,True,,True
T20 World Cup,Dawid Malan,England,English,1987-09-03,True,False,LEG_SPIN,True
T20 World Cup,Tom Curran,England,English,1995-03-12,True,True,FAST_SEAM,True
T20 World Cup,Liam Livingstone,England,English,1993-08-04,True,True,LEG_SPIN,True
T20 World Cup,Mark Wood,England,English,1990-01-11,True,True,FAST_SEAM,True
T20 World Cup,Harry Brook,England,,1999-02-22,,True,Right-arm medium,True
T20 World Cup,Phil Salt,England,,,True,True,,True
T20 World Cup,Sam Curran,England,English,1998-06-03,False,False,MEDIUM_SEAM,True
T20 World Cup,Tymal Mills,England,,,,,,False
T20 World Cup,Ben Duckett,England,English,1994-10-17,False,False,,True
T20 World Cup,Will Jacks,England,,1998-11-21,,True,Right-arm off spin,True
T20 World Cup,Jofra Archer,England,English,1995-04-01,True,True,FAST_SEAM,True
T20 World Cup,Tom Hartley,England,,1999-05-03,,False,Slow left-arm orthodox,True
T20 World Cup,Jamie Atkinson,Hong Kong,Hong Konger,1990-08-13,False,True,,True
T20 World Cup,Waqas Barkat,Hong Kong,Hong Konger,1990-02-17,False,True,,True
T20 World Cup,Babar Hayat,Hong Kong,Hong Konger,1992-01-05,False,True,,True
T20 World Cup,Kinchit Shah,Hong Kong,Hong Konger,1995-12-09,False,False,,True
T20 World Cup,Aizaz Khan,Hong Kong,Hong Konger,1993-03-21,False,True,,True
T20 World Cup,Mark Chapman,Hong Kong,New Zealander,1994-06-27,False,False,ORTHODOX,True
T20 World Cup,Irfan Ahmed,Hong Kong,,,,,,False
T20 World Cup,Roy Lamsam,Hong Kong,,,,,,False
T20 World Cup,Munir Dar,Hong Kong,,,,,,False
T20 World Cup,Najeeb Amar,Hong Kong,,,,,,False
T20 World Cup,Nizakat Khan,Hong Kong,Hong Konger,1992-07-08,False,True,,True
T20 World Cup,Tanwir Afzal,Hong Kong,Hong Konger,1988-06-12,False,True,,True
T20 World Cup,Ehsan Nawaz,Hong Kong,Hong Konger,1995-03-21,False,True,,True
T20 World Cup,Haseeb Amjad,Hong Kong,,,,,,False
T20 World Cup,Nadeem Ahmed,Hong Kong,Hong Konger,1987-09-28,False,True,,True
T20 World Cup,Waqas Khan,Hong Kong,Hong Konger,1999-10-10,False,True,,True
T20 World Cup,Anshy Rath,Hong Kong,Hong Konger,1997-11-05,False,False,ORTHODOX,True
T20 World Cup,Ryan Campbell,Hong Kong,,,,,,False
T20 World Cup,Christopher Carter,Hong Kong,Hong Konger,1997-09-09,False,True,,True
T20 World Cup,Adil Mehmood,Hong Kong,,,,,,False
T20 World Cup,MS Dhoni,India,Indian,1981-07-07,True,True,MEDIUM_SEAM,True
T20 World Cup,Yuvraj Singh,India,Indian,1981-12-12,False,False,ORTHODOX,True
T20 World Cup,Gautam Gambhir,India,Indian,1981-10-14,True,False,LEG_SPIN,True
T20 World Cup,Dinesh Karthik,India,Indian,1985-06-01,True,True,OFF_SPIN,True
T20 World Cup,Virender Sehwag,India,Indian,1978-10-20,True,True,OFF_SPIN,True
T20 World Cup,Rohit Sharma,India,Indian,1987-04-30,True,True,OFF_SPIN,True
T20 World Cup,Robin Uthappa,India,Indian,1985-11-11,True,True,,True
T20 World Cup,Piyush Chawla,India,Indian,1988-12-24,True,False,LEG_SPIN,True
T20 World Cup,Joginder Sharma,India,,,,,,False
T20 World Cup,Yusuf Pathan,India,Indian,1982-11-17,False,True,,True
T20 World Cup,Irfan Pathan,India,,,,,,False
T20 World Cup,Ajit Agarkar,India,Indian,1977-12-04,True,True,FAST_SEAM,True
T20 World Cup,Harbhajan Singh,India,Indian,1980-07-03,True,True,OFF_SPIN,True
T20 World Cup,RP Singh,India,,,,,,False
T20 World Cup,Sreesanth,India,,,,,,False
T20 World Cup,Suresh Raina,India,Indian,1986-11-27,True,False,OFF_SPIN,True
T20 World Cup,Ravindra Jadeja,India,Indian,1988-12-06,False,False,ORTHODOX,True
T20 World Cup,Zaheer Khan,India,Indian,1978-10-07,False,True,FAST_SEAM,True
T20 World Cup,Praveen Kumar,India,,,,,,False
T20 World Cup,Pragyan Ojha,India,,,,,,False
T20 World Cup,Ishant Sharma,India,Indian,1988-09-02,True,True,FAST_SEAM,True
T20 World Cup,Murali Vijay,India,Indian,1984-04-01,False,False,,True
T20 World Cup,Ashish Nehra,India,Indian,1979-04-29,False,True,MEDIUM_SEAM,True
T20 World Cup,Vinay Kumar,India,Indian,1984-02-12,True,True,,True
T20 World Cup,Umesh Yadav,India,Indian,1987-10-25,True,True,FAST_SEAM,True
T20 World Cup,Virat Kohli,India,Indian,1988-11-05,True,True,MEDIUM_SEAM,True
T20 World Cup,Manoj Tiwary,India,Indian,1985-11-14,True,True,,True
T20 World Cup,Ravichandran Ashwin,India,Indian,1986-09-17,True,True,OFF_SPIN,True
T20 World Cup,Lakshmipathy Balaji,India,,,,,,False
T20 World Cup,Ashok Dinda,India,Indian,1984-03-25,True,True,,True
T20 World Cup,Shikhar Dhawan,India,Indian,1985-12-05,True,False,OFF_SPIN,True
T20 World Cup,Ajinkya Rahane,India,Indian,1988-06-06,True,True,MEDIUM_SEAM,True
T20 World Cup,Stuart Binny,India,Indian,1984-06-03,True,True,,True
T20 World Cup,Varun Aaron,India,Indian,1989-10-29,True,True,,True
T20 World Cup,Bhuvneshwar Kumar,India,Indian,1990-02-05,True,True,MEDIUM_SEAM,True
T20 World Cup,Amit Mishra,India,Indian,1982-11-24,True,True,LEG_SPIN,True
T20 World Cup,Mohammed Shami,India,Indian,1990-09-03,True,True,FAST_SEAM,True
T20 World Cup,Mohit Sharma,India,Indian,1991-12-19,False,True,,True
T20 World Cup,Manish Pandey,India,Indian,1989-09-10,True,True,MEDIUM_SEAM,True
T20 World Cup,Hardik Pandya,India,Indian,1993-10-11,True,True,MEDIUM_SEAM,True
T20 World Cup,Jasprit Bumrah,India,Indian,1993-12-06,True,True,FAST_SEAM,True
T20 World Cup,Pawan Negi,India,,,,,,False
T20 World Cup,Ishan Kishan,India,Indian,1998-07-18,False,False,,True
T20 World Cup,Rishabh Pant,India,IN,1997-10-04,True,False,,True
T20 World Cup,KL Rahul,India,Indian,1992-04-18,True,True,,True
T20 World Cup,Suryakumar Yadav,India,Indian,1990-09-14,True,True,,True
T20 World Cup,Rahul Chahar,India,Indian,1999-08-04,True,True,LEG_SPIN,True
T20 World Cup,Shardul Thakur,India,Indian,1991-10-16,True,True,MEDIUM_SEAM,True
T20 World Cup,Varun Chakravarthy,India,,,,,,False
T20 World Cup,Deepak Hooda,India,,,,,,False
T20 World Cup,Axar Patel,India,Indian,1994-01-20,False,False,ORTHODOX,True
T20 World Cup,Arshdeep Singh,India,,1999-02-05,,False,Left-arm medium fast,True
T20 World Cup,Yuzvendra Chahal,India,Indian,1990-07-23,True,True,LEG_SPIN,True
T20 World Cup,Harshal Patel,India,,,,,,False
T20 World Cup,Yashasvi Jaiswal,India,,2001-12-28,,False,Right-arm leg break,True
T20 World Cup,Sanju Samson,India,Indian,1994-11-11,True,True,,True
T20 World Cup,Shivam Dube,India,Indian,1993-06-26,True,False,MEDIUM_SEAM,True
T20 World Cup,Kuldeep Yadav,India,Indian,1994-12-14,False,False,UNORTHODOX,True
T20 World Cup,Mohammed Siraj,India,Indian,1994-03-13,True,True,MEDIUM_SEAM,True
T20 World Cup,Tanmay Mishra,Kenya,Kenyan,1986-12-22,False,True,,True
T20 World Cup,Alex Obanda,Kenya,Kenyan,1987-12-25,False,True,,True
T20 World Cup,David Obuya,Kenya,Kenyan,1979-08-14,False,True,,True
T20 World Cup,Morris Ouma,Kenya,Kenyan,1982-11-08,False,True,,True
T20 World Cup,Steve Tikolo,Kenya,Kenyan,1971-06-25,False,True,,True
T20 World Cup,Collins Obuya,Kenya,Kenyan,1981-07-27,False,True,,True
T20 World Cup,Thomas Odoyo,Kenya,Kenyan,1978-05-12,True,True,MEDIUM_SEAM,True
T20 World Cup,Tony Suji,Kenya,Kenyan,1976-02-05,False,True,,True
T20 World Cup,Rajesh Bhudia,Kenya,,,,,,False
T20 World Cup,Jimmy Kamande,Kenya,Kenyan,1978-12-12,False,True,,True
T20 World Cup,Nehemiah Odhiambo,Kenya,Kenyan,1983-08-07,False,True,,True
T20 World Cup,Peter Ongondo,Kenya,Kenyan,1977-02-10,False,True,,True
T20 World Cup,Lameck Onyango,Kenya,,,,,,False
T20 World Cup,Elijah Otieno,Kenya,Kenyan,1988-01-03,False,True,,True
T20 World Cup,Hiren Varaiya,Kenya,Kenyan,1984-04-09,False,True,,True
T20 World Cup,William Porterfield,Ireland,Irish,1984-09-06,True,False,OFF_SPIN,True
T20 World Cup,Niall O'Brien,Ireland,Irish,1981-11-08,False,False,,True
T20 World Cup,Gary Wilson,Ireland,Irish,1986-02-05,True,True,,True
T20 World Cup,Andre Botha,Ireland,South African,1975-09-12,False,True,,True
T20 World Cup,Kyle McCallan,Ireland,Irish,1975-08-27,False,True,,True
