team,year,player_name,dob,batting_style,bowling_style,nationality
Afghanistan,2022,Gulbadin Naib,1991-03-16,Right-handed,Medium seam,Afghan
Afghanistan,2022,Rashid Khan,1959-12-15,Right-handed,Right-arm leg spin,Pakistani
Afghanistan,2022,Fareed Ahmad,1994-08-10,Left-handed,,Afghan
Afghanistan,2022,Fazalhaq Farooqi,2000-09-22,Right-handed,Left-arm fast-medium,
Afghanistan,2022,Mohammad Saleem,2002-09-09,Right-handed,Right-arm fast,
Afghanistan,2022,Mujeeb Ur Rahman,2001-03-28,Right-handed,Off spin,Afghan
Afghanistan,2022,Naveen-ul-Haq,1999-09-23,Right-handed,Medium seam,Afghan
Afghanistan,2022,Qais Ahmad,,,,
Afghanistan,2024,Rahmanullah Gurbaz,2001-11-28,Right-handed,Medium seam,Afghan
Afghanistan,2024,Hazratullah Zazai,1998-03-23,Left-handed,Orthodox spin,Afghan
Afghanistan,2024,Ibrahim Zadran,2001-12-12,Right-handed,Medium seam,Afghan
Afghanistan,2024,Mohammad Ishaq,1963-03-07,Right-handed,Right-arm medium,Pakistani
Afghanistan,2024,Najibullah Zadran,1993-02-28,Left-handed,Off spin,Afghan
Afghanistan,2024,Rashid Khan,1959-12-15,Right-handed,Right-arm leg spin,Pakistani
Afghanistan,2024,Azmatullah Omarzai,2000-03-24,Right-handed,Right-arm medium-fast,
Afghanistan,2024,Gulbadin Naib,1991-03-16,Right-handed,Medium seam,Afghan
Afghanistan,2024,Karim Janat,1998-08-11,Right-handed,,Afghan
Afghanistan,2024,Mohammad Nabi,1985-01-01,Right-handed,Off spin,Afghan
Afghanistan,2024,Nangeyalia Kharote,,,,
Afghanistan,2024,Fareed Ahmad,1994-08-10,Left-handed,,Afghan
Afghanistan,2024,Fazalhaq Farooqi,2000-09-22,Right-handed,Left-arm fast-medium,
Afghanistan,2024,Naveen-ul-Haq,1999-09-23,Right-handed,Medium seam,Afghan
Afghanistan,2024,Noor Ahmad,2005-01-03,Left-handed,Left-arm unorthodox spin,
Australia,2007,Adam Gilchrist,1971-11-14,Left-handed,Off spin,Australian
Australia,2007,Michael Clarke,1981-04-02,Right-handed,Orthodox spin,Australian
Australia,2007,Brad Haddin,1977-10-23,Right-handed,Wicket-keeper,Australian
Australia,2007,Matthew Hayden,1971-10-29,Left-handed,Medium seam,Australian
Australia,2007,Brad Hodge,1974-12-29,Left-handed,Right-arm off break,Australian
Australia,2007,Michael Hussey,1975-05-27,Left-handed,Medium seam,Australian
Australia,2007,Brad Hogg,1971-02-06,Left-handed,Slow left-arm wrist-spin,Australian
Australia,2007,Andrew Symonds,1975-06-09,Right-handed,Medium seam,Australian
Australia,2007,Nathan Bracken,1977-09-12,Right-handed,Fast seam,Australian
Australia,2007,Stuart Clark,1975-09-28,Right-handed,Right-arm fast-medium,Australian
Australia,2007,Ben Hilfenhaus,,,,
Australia,2007,Mitchell Johnson,1981-11-02,Left-handed,Fast seam,Australian
Australia,2007,Brett Lee,1976-11-08,Right-handed,Fast seam,Australian
Australia,2009,Ricky Ponting,1974-12-19,Right-handed,Medium seam,Australian
Australia,2009,Michael Clarke,1981-04-02,Right-handed,Orthodox spin,Australian
Australia,2009,Brad Haddin,1977-10-23,Right-handed,Wicket-keeper,Australian
Australia,2009,Michael Hussey,1975-05-27,Left-handed,Medium seam,Australian
Australia,2009,David Warner,1986-10-27,Left-handed,Leg spin,Australian
Australia,2009,Cameron White,1983-08-18,Left-handed,Right-arm leg break,Australian
Australia,2009,James Hopes,,,,
Australia,2009,David Hussey,1977-07-15,Left-handed,Right-arm off break,Australian
Australia,2009,Shane Watson,1981-06-17,Right-handed,Medium seam,Australian
Australia,2009,Nathan Bracken,1977-09-12,Right-handed,Fast seam,Australian
Australia,2009,Nathan Hauritz,1981-10-18,Right-handed,Right-arm off break,
Australia,2009,Ben Hilfenhaus,,,,
Australia,2009,Mitchell Johnson,1981-11-02,Left-handed,Fast seam,Australian
Australia,2009,Brett Lee,1976-11-08,Right-handed,Fast seam,Australian
Australia,2009,Peter Siddle,1984-11-25,Right-handed,Fast seam,Australian
Australia,2010,Michael Clarke,1981-04-02,Right-handed,Orthodox spin,Australian
Australia,2010,Brad Haddin,1977-10-23,Right-handed,Wicket-keeper,Australian
Australia,2010,Michael Hussey,1975-05-27,Left-handed,Medium seam,Australian
Australia,2010,Tim Paine,1984-12-08,Right-handed,Medium seam,Australian
Australia,2010,Steven Smith,1989-06-02,Right-handed,Leg spin,Australian
Australia,2010,David Warner,1986-10-27,Left-handed,Leg spin,Australian
Australia,2010,Cameron White,1983-08-18,Left-handed,Right-arm leg break,Australian
Australia,2010,Dan Christian,1983-05-04,Right-handed,Medium seam,Australian
Australia,2010,David Hussey,1977-07-15,Left-handed,Right-arm off break,Australian
Australia,2010,Shane Watson,1981-06-17,Right-handed,Medium seam,Australian
Australia,2010,Ryan Harris,,,,
Australia,2010,Nathan Hauritz,1981-10-18,Right-handed,Right-arm off break,
Australia,2010,Mitchell Johnson,1981-11-02,Left-handed,Fast seam,Australian
Australia,2010,Dirk Nannes,,,,
Australia,2010,Shaun Tait,1983-02-22,Left-handed,Right-arm fast,Australian
Australia,2012,George Bailey,1982-09-07,Left-handed,Right-arm medium,Australian
Australia,2012,Michael Hussey,1975-05-27,Left-handed,Medium seam,Australian
Australia,2012,Matthew Wade,1987-12-26,Left-handed,Medium seam,Australian
Australia,2012,David Warner,1986-10-27,Left-handed,Leg spin,Australian
Australia,2012,Cameron White,1983-08-18,Left-handed,Right-arm leg break,Australian
Australia,2012,Shane Watson,1981-06-17,Right-handed,Medium seam,Australian
Australia,2012,Dan Christian,1983-05-04,Right-handed,Medium seam,Australian
Australia,2012,Brad Hogg,1971-02-06,Left-handed,Slow left-arm wrist-spin,Australian
Australia,2012,David Hussey,1977-07-15,Left-handed,Right-arm off break,Australian
Australia,2012,Glenn Maxwell,1988-10-14,Right-handed,Off spin,Australian
Australia,2012,Pat Cummins,1993-05-08,Right-handed,Fast seam,Australian
Australia,2012,Xavier Doherty,1982-11-22,Right-handed,Slow left-arm orthodox,Australian
Australia,2012,Ben Hilfenhaus,,,,
Australia,2012,Clint McKay,1983-02-22,Right-handed,,Australian
Australia,2012,Mitchell Starc,1990-01-30,Left-handed,Fast seam,Australian
Australia,2014,George Bailey,1982-09-07,Left-handed,Right-arm medium,Australian
Australia,2014,Aaron Finch,1986-11-17,Right-handed,Orthodox spin,Australian
Australia,2014,Brad Haddin,1977-10-23,Right-handed,Wicket-keeper,Australian
Australia,2014,Brad Hodge,1974-12-29,Left-handed,Right-arm off break,Australian
Australia,2014,David Warner,1986-10-27,Left-handed,Leg spin,Australian
Australia,2014,Cameron White,1983-08-18,Left-handed,Right-arm leg break,Australian
Australia,2014,Dan Christian,1983-05-04,Right-handed,Medium seam,Australian
Australia,2014,Nathan Coulter-Nile,1987-10-11,Right-handed,Fast seam,Australian
Australia,2014,James Faulkner,1990-04-29,Right-handed,Left-arm fast-medium,Australian
Australia,2014,Brad Hogg,1971-02-06,Left-handed,Slow left-arm wrist-spin,Australian
Australia,2014,Glenn Maxwell,1988-10-14,Right-handed,Off spin,Australian
Australia,2014,Shane Watson,1981-06-17,Right-handed,Medium seam,Australian
Australia,2014,Doug Bollinger,1981-07-24,Left-handed,Left-arm fast-medium,
Australia,2014,James Muirhead,,,,
Australia,2014,Mitchell Starc,1990-01-30,Left-handed,Fast seam,Australian
Australia,2016,Steven Smith,1989-06-02,Right-handed,Leg spin,Australian
Australia,2016,David Warner,1986-10-27,Left-handed,Leg spin,Australian
Australia,2016,Aaron Finch,1986-11-17,Right-handed,Orthodox spin,Australian
Australia,2016,Usman Khawaja,1986-12-18,Left-handed,Medium seam,Australian
Australia,2016,Peter Nevill,,,,
Australia,2016,Nathan Coulter-Nile,1987-10-11,Right-handed,Fast seam,Australian
Australia,2016,James Faulkner,1990-04-29,Right-handed,Left-arm fast-medium,Australian
Australia,2016,John Hastings,1985-11-04,Right-handed,Right-arm fast-medium,Australian
Australia,2016,Mitchell Marsh,1991-10-20,Right-handed,Medium seam,Australian
Australia,2016,Glenn Maxwell,1988-10-14,Right-handed,Off spin,Australian
Australia,2016,Shane Watson,1981-06-17,Right-handed,Medium seam,Australian
Australia,2016,Ashton Agar,1993-10-14,Left-handed,Orthodox spin,Australian
Australia,2016,Josh Hazlewood,1991-01-08,Left-handed,Fast seam,Australian
Australia,2016,Andrew Tye,1986-12-12,Right-handed,Medium seam,Australian
Australia,2016,Adam Zampa,1992-03-31,Right-handed,Leg spin,Australian
Australia,2021,Aaron Finch,1986-11-17,Right-handed,Orthodox spin,Australian
Australia,2021,Josh Inglis,1995-03-04,Right-handed,Wicket-keeper,
Australia,2021,Steven Smith,1989-06-02,Right-handed,Leg spin,Australian
Australia,2021,Matthew Wade,1987-12-26,Left-handed,Medium seam,Australian
Australia,2021,David Warner,1986-10-27,Left-handed,Leg spin,Australian
Australia,2021,Dan Christian,1983-05-04,Right-handed,Medium seam,Australian
Australia,2021,Mitchell Marsh,1991-10-20,Right-handed,Medium seam,Australian
Australia,2021,Glenn Maxwell,1988-10-14,Right-handed,Off spin,Australian
Australia,2021,Daniel Sams,,,,
Australia,2021,Marcus Stoinis,1989-08-16,Right-handed,Medium seam,Australian
Australia,2021,Pat Cummins,1993-05-08,Right-handed,Fast seam,Australian
Australia,2021,Ashton Agar,1993-10-14,Left-handed,Orthodox spin,Australian
Australia,2021,Nathan Ellis,1994-09-22,Right-handed,Right-arm fast-medium,
Australia,2021,Josh Hazlewood,1991-01-08,Left-handed,Fast seam,Australian
Australia,2021,Kane Richardson,1991-02-12,Right-handed,Fast seam,Australian
Australia,2021,Mitchell Starc,1990-01-30,Left-handed,Fast seam,Australian
Australia,2021,Mitchell Swepson,,,,
Australia,2021,Adam Zampa,1992-03-31,Right-handed,Leg spin,Australian
Australia,2022,Aaron Finch,1986-11-17,Right-handed,Orthodox spin,Australian
Australia,2022,Tim David,1996-03-16,Right-handed,Right-arm off break,
Australia,2022,Steven Smith,1989-06-02,Right-handed,Leg spin,Australian
Australia,2022,Matthew Wade,1987-12-26,Left-handed,Medium seam,Australian
Australia,2022,David Warner,1986-10-27,Left-handed,Leg spin,Australian
Australia,2022,Cameron Green,1999-06-03,Right-handed,Fast seam,
Australia,2022,Mitchell Marsh,1991-10-20,Right-handed,Medium seam,Australian
Australia,2022,Glenn Maxwell,1988-10-14,Right-handed,Off spin,Australian
Australia,2022,Marcus Stoinis,1989-08-16,Right-handed,Medium seam,Australian
Australia,2022,Pat Cummins,1993-05-08,Right-handed,Fast seam,Australian
Australia,2022,Ashton Agar,1993-10-14,Left-handed,Orthodox spin,Australian
Australia,2022,Josh Hazlewood,1991-01-08,Left-handed,Fast seam,Australian
Australia,2022,Kane Richardson,1991-02-12,Right-handed,Fast seam,Australian
Australia,2022,Mitchell Starc,1990-01-30,Left-handed,Fast seam,Australian
Australia,2022,Adam Zampa,1992-03-31,Right-handed,Leg spin,Australian
Australia,2024,Tim David,1996-03-16,Right-handed,Right-arm off break,
Australia,2024,Travis Head,1993-12-29,Left-handed,Off spin,Australian
Australia,2024,Josh Inglis,1995-03-04,Right-handed,Wicket-keeper,
Australia,2024,Matthew Wade,1987-12-26,Left-handed,Medium seam,Australian
Australia,2024,David Warner,1986-10-27,Left-handed,Leg spin,Australian
Australia,2024,Mitchell Marsh,1991-10-20,Right-handed,Medium seam,Australian
Australia,2024,Cameron Green,1999-06-03,Right-handed,Fast seam,
Australia,2024,Glenn Maxwell,1988-10-14,Right-handed,Off spin,Australian
Australia,2024,Marcus Stoinis,1989-08-16,Right-handed,Medium seam,Australian
Australia,2024,Ashton Agar,1993-10-14,Left-handed,Orthodox spin,Australian
Australia,2024,Pat Cummins,1993-05-08,Right-handed,Fast seam,Australian
Australia,2024,Nathan Ellis,1994-09-22,Right-handed,Right-arm fast-medium,
Australia,2024,Josh Hazlewood,1991-01-08,Left-handed,Fast seam,Australian
Australia,2024,Mitchell Starc,1990-01-30,Left-handed,Fast seam,Australian
Australia,2024,Adam Zampa,1992-03-31,Right-handed,Leg spin,Australian
Bangladesh,2007,Mohammad Ashraful,1984-07-07,Right-handed,Right-arm leg break,Bangladeshi
Bangladesh,2007,Aftab Ahmed,1985-11-10,Right-handed,Right-arm medium,Bangladeshi
Bangladesh,2007,Zunaed Siddique,,,,
Bangladesh,2007,Mushfiqur Rahim,1987-05-09,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2007,Nadif Chowdhury,,,,
Bangladesh,2007,Nazimuddin,,,,
Bangladesh,2007,Tamim Iqbal,1989-03-20,Left-handed,Right-arm off spin,Bangladeshi
Bangladesh,2007,Alok Kapali,1984-01-01,Right-handed,Right-arm leg break,Bangladeshi
Bangladesh,2007,Farhad Reza,1986-06-16,Right-handed,Right-arm fast-medium,
Bangladesh,2007,Mahmudullah,1986-02-04,Right-handed,Right-arm off break,BD
Bangladesh,2007,Shakib Al Hasan,1987-03-24,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2007,Ziaur Rahman,2012-08-16,Right-handed,,Bangladeshi
Bangladesh,2007,Mashrafe Mortaza,1983-10-05,Right-handed,Fast seam,Bangladeshi
Bangladesh,2007,Abdur Razzak,1982-06-15,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2007,Syed Rasel,1984-07-03,Right-handed,Left-arm medium-fast,Bangladeshi
Bangladesh,2009,Mohammad Ashraful,1984-07-07,Right-handed,Right-arm leg break,Bangladeshi
Bangladesh,2009,Zunaed Siddique,,,,
Bangladesh,2009,Mohammad Mithun,1991-03-02,Right-handed,,Bangladeshi
Bangladesh,2009,Mushfiqur Rahim,1987-05-09,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2009,Raqibul Hasan,1987-10-08,Right-handed,Right-arm off break,Bangladeshi
Bangladesh,2009,Shamsur Rahman,1988-06-05,Right-handed,,Bangladeshi
Bangladesh,2009,Tamim Iqbal,1989-03-20,Left-handed,Right-arm off spin,Bangladeshi
Bangladesh,2009,Mahmudullah,1986-02-04,Right-handed,Right-arm off break,BD
Bangladesh,2009,Naeem Islam,1986-12-31,Right-handed,Right-arm off break,Bangladeshi
Bangladesh,2009,Shakib Al Hasan,1987-03-24,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2009,Abdur Razzak,1982-06-15,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2009,Mashrafe Mortaza,1983-10-05,Right-handed,Fast seam,Bangladeshi
Bangladesh,2009,Rubel Hossain,1990-01-01,Right-handed,Fast seam,Bangladeshi
Bangladesh,2009,Shahadat Hossain,1986-08-07,Right-handed,Right-arm fast-medium,Bangladeshi
Bangladesh,2009,Syed Rasel,1984-07-03,Right-handed,Left-arm medium-fast,Bangladeshi
Bangladesh,2010,Mushfiqur Rahim,1987-05-09,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2010,Aftab Ahmed,1985-11-10,Right-handed,Right-arm medium,Bangladeshi
Bangladesh,2010,Imrul Kayes,1987-02-02,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2010,Jahurul Islam,2012-08-16,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2010,Mohammad Ashraful,1984-07-07,Right-handed,Right-arm leg break,Bangladeshi
Bangladesh,2010,Tamim Iqbal,1989-03-20,Left-handed,Right-arm off spin,Bangladeshi
Bangladesh,2010,Shakib Al Hasan,1987-03-24,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2010,Mahmudullah,1986-02-04,Right-handed,Right-arm off break,BD
Bangladesh,2010,Naeem Islam,1986-12-31,Right-handed,Right-arm off break,Bangladeshi
Bangladesh,2010,Abdur Razzak,1982-06-15,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2010,Mashrafe Mortaza,1983-10-05,Right-handed,Fast seam,Bangladeshi
Bangladesh,2010,Rubel Hossain,1990-01-01,Right-handed,Fast seam,Bangladeshi
Bangladesh,2010,Shafiul Islam,1989-10-06,Right-handed,Fast seam,Bangladeshi
Bangladesh,2010,Sohrawordi Shuvo,,,,
Bangladesh,2010,Syed Rasel,1984-07-03,Right-handed,Left-arm medium-fast,Bangladeshi
Bangladesh,2012,Mushfiqur Rahim,1987-05-09,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2012,Jahurul Islam,2012-08-16,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2012,Zunaed Siddique,,,,
Bangladesh,2012,Mohammad Ashraful,1984-07-07,Right-handed,Right-arm leg break,Bangladeshi
Bangladesh,2012,Tamim Iqbal,1989-03-20,Left-handed,Right-arm off spin,Bangladeshi
Bangladesh,2012,Mahmudullah,1986-02-04,Right-handed,Right-arm off break,BD
Bangladesh,2012,Farhad Reza,1986-06-16,Right-handed,Right-arm fast-medium,
Bangladesh,2012,Nasir Hossain,1991-11-30,Right-handed,Right-arm off break,Bangladeshi
Bangladesh,2012,Shakib Al Hasan,1987-03-24,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2012,Ziaur Rahman,2012-08-16,Right-handed,,Bangladeshi
Bangladesh,2012,Abdur Razzak,1982-06-15,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2012,Abul Hasan,1992-08-05,Left-handed,Medium seam,Bangladeshi
Bangladesh,2012,Elias Sunny,,,,
Bangladesh,2012,Mashrafe Mortaza,1983-10-05,Right-handed,Fast seam,Bangladeshi
Bangladesh,2012,Shafiul Islam,1989-10-06,Right-handed,Fast seam,Bangladeshi
Bangladesh,2014,Mushfiqur Rahim,1987-05-09,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2014,Anamul Haque,1993-12-16,Right-handed,Right-arm medium-fast,Bangladeshi
Bangladesh,2014,Mominul Haque,1991-09-29,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2014,Sabbir Rahman,1991-11-22,Right-handed,Leg spin,Bangladeshi
Bangladesh,2014,Shamsur Rahman,1988-06-05,Right-handed,,Bangladeshi
Bangladesh,2014,Tamim Iqbal,1989-03-20,Left-handed,Right-arm off spin,Bangladeshi
Bangladesh,2014,Farhad Reza,1986-06-16,Right-handed,Right-arm fast-medium,
Bangladesh,2014,Mahmudullah,1986-02-04,Right-handed,Right-arm off break,BD
Bangladesh,2014,Nasir Hossain,1991-11-30,Right-handed,Right-arm off break,Bangladeshi
Bangladesh,2014,Shakib Al Hasan,1987-03-24,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2014,Ziaur Rahman,2012-08-16,Right-handed,,Bangladeshi
Bangladesh,2014,Abdur Razzak,1982-06-15,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2014,Al-Amin Hossain,1990-01-01,Right-handed,Medium seam,Bangladeshi
Bangladesh,2014,Sohag Gazi,1991-08-05,Right-handed,,Bangladeshi
Bangladesh,2014,Taskin Ahmed,1995-04-03,Left-handed,Fast seam,BD
Bangladesh,2016,Mohammad Mithun,1991-03-02,Right-handed,,Bangladeshi
Bangladesh,2016,Mushfiqur Rahim,1987-05-09,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2016,Nurul Hasan,1993-11-21,Right-handed,,Bangladeshi
Bangladesh,2016,Sabbir Rahman,1991-11-22,Right-handed,Leg spin,Bangladeshi
Bangladesh,2016,Tamim Iqbal,1989-03-20,Left-handed,Right-arm off spin,Bangladeshi
Bangladesh,2016,Shakib Al Hasan,1987-03-24,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2016,Mahmudullah,1986-02-04,Right-handed,Right-arm off break,BD
Bangladesh,2016,Nasir Hossain,1991-11-30,Right-handed,Right-arm off break,Bangladeshi
Bangladesh,2016,Shuvagata Hom,,,,
Bangladesh,2016,Soumya Sarkar,1993-02-25,Left-handed,Medium seam,Bangladeshi
Bangladesh,2016,Mashrafe Mortaza,1983-10-05,Right-handed,Fast seam,Bangladeshi
Bangladesh,2016,Abu Hider,1996-02-14,Right-handed,,Bangladeshi
Bangladesh,2016,Al-Amin Hossain,1990-01-01,Right-handed,Medium seam,Bangladeshi
Bangladesh,2016,Mustafizur Rahman,1995-09-06,Left-handed,Fast seam,Bangladeshi
Bangladesh,2016,Saqlain Sajib,,,,
Bangladesh,2021,Litton Das,1994-10-13,Right-handed,Right-arm off spin,Bangladeshi
Bangladesh,2021,Mohammad Naim,1999-08-22,Left-handed,,Bangladeshi
Bangladesh,2021,Mushfiqur Rahim,1987-05-09,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2021,Nurul Hasan,1993-11-21,Right-handed,,Bangladeshi
Bangladesh,2021,Mahmudullah,1986-02-04,Right-handed,Right-arm off break,BD
Bangladesh,2021,Afif Hossain,1999-09-22,Left-handed,Off spin,Bangladeshi
Bangladesh,2021,Mahedi Hasan,1994-12-12,Right-handed,Off spin,Bangladeshi
