team,year,player_name,dob,batting_style,bowling_style,nationality
Australia,2006,Michael Clarke,1981-04-02,Right-handed,Orthodox spin,Australian
Australia,2006,Michael Hussey,1975-05-27,Left-handed,Medium seam,Australian
Australia,2006,Brad Hogg,1971-02-06,Left-handed,Slow left-arm wrist-spin,Australian
Australia,2006,Brett Lee,1976-11-08,Right-handed,Fast seam,Australian
Australia,2006,Nathan Bracken,1977-09-12,Right-handed,Fast seam,Australian
Australia,2006,Glenn McGrath,1970-02-09,Right-handed,Fast seam,Australian
Australia,2006,Mitchell Johnson,1981-11-02,Left-handed,Fast seam,Australian
Australia,2009,Ricky Ponting,1974-12-19,Right-handed,Medium seam,Australian
Australia,2009,Callum Ferguson,1984-05-03,Right-handed,Right-arm medium,
Australia,2009,Michael Hussey,1975-05-27,Left-handed,Medium seam,Australian
Australia,2009,Tim Paine,1984-12-08,Right-handed,Medium seam,Australian
Australia,2009,Adam Voges,1979-10-04,Right-handed,,Australian
Australia,2009,Cameron White,1983-08-18,Left-handed,Right-arm leg break,Australian
Australia,2009,James Hopes,,,,
Australia,2009,David Hussey,1977-07-15,Left-handed,Right-arm off break,Australian
Australia,2009,Shane Watson,1981-06-17,Right-handed,Medium seam,Australian
Australia,2009,Doug Bollinger,1981-07-24,Left-handed,Left-arm fast-medium,
Australia,2009,Nathan Hauritz,1981-10-18,Right-handed,Right-arm off break,
Australia,2009,Ben Hilfenhaus,,,,
Australia,2009,Mitchell Johnson,1981-11-02,Left-handed,Fast seam,Australian
Australia,2009,Brett Lee,1976-11-08,Right-handed,Fast seam,Australian
Australia,2009,Peter Siddle,1984-11-25,Right-handed,Fast seam,Australian
Australia,2013,Michael Clarke,1981-04-02,Right-handed,Orthodox spin,Australian
Australia,2013,George Bailey,1982-09-07,Left-handed,Right-arm medium,Australian
Australia,2013,Phillip Hughes,1988-11-30,Left-handed,,Australian
Australia,2013,Adam Voges,1979-10-04,Right-handed,,Australian
Australia,2013,Matthew Wade,1987-12-26,Left-handed,Medium seam,Australian
Australia,2013,David Warner,1986-10-27,Left-handed,Leg spin,Australian
Australia,2013,Nathan Coulter-Nile,1987-10-11,Right-handed,Fast seam,Australian
Australia,2013,James Faulkner,1990-04-29,Right-handed,Left-arm fast-medium,Australian
Australia,2013,Mitchell Marsh,1991-10-20,Right-handed,Medium seam,Australian
Australia,2013,Glenn Maxwell,1988-10-14,Right-handed,Off spin,Australian
Australia,2013,Shane Watson,1981-06-17,Right-handed,Medium seam,Australian
Australia,2013,Xavier Doherty,1982-11-22,Right-handed,Slow left-arm orthodox,Australian
Australia,2013,Mitchell Johnson,1981-11-02,Left-handed,Fast seam,Australian
Australia,2013,Clint McKay,1983-02-22,Right-handed,,Australian
Australia,2013,Mitchell Starc,1990-01-30,Left-handed,Fast seam,Australian
Australia,2017,Steven Smith,1989-06-02,Right-handed,Leg spin,Australian
Australia,2017,David Warner,1986-10-27,Left-handed,Leg spin,Australian
Australia,2017,Aaron Finch,1986-11-17,Right-handed,Orthodox spin,Australian
Australia,2017,Travis Head,1993-12-29,Left-handed,Off spin,Australian
Australia,2017,Chris Lynn,1990-04-10,Right-handed,,Australian
Australia,2017,Matthew Wade,1987-12-26,Left-handed,Medium seam,Australian
Australia,2017,John Hastings,1985-11-04,Right-handed,Right-arm fast-medium,Australian
Australia,2017,Moises Henriques,1987-02-01,Right-handed,Medium seam,Australian
Australia,2017,Glenn Maxwell,1988-10-14,Right-handed,Off spin,Australian
Australia,2017,Marcus Stoinis,1989-08-16,Right-handed,Medium seam,Australian
Australia,2017,Pat Cummins,1993-05-08,Right-handed,Fast seam,Australian
Australia,2017,Josh Hazlewood,1991-01-08,Left-handed,Fast seam,Australian
Australia,2017,James Pattinson,1990-05-03,Left-handed,Fast seam,Australian
Australia,2017,Mitchell Starc,1990-01-30,Left-handed,Fast seam,Australian
Australia,2017,Adam Zampa,1992-03-31,Right-handed,Leg spin,Australian
Australia,2025,Steven Smith,1989-06-02,Right-handed,Leg spin,Australian
Australia,2025,Alex Carey,1991-08-27,Left-handed,Wicket-keeper,Australian
Australia,2025,Jake Fraser-McGurk,,,,
Australia,2025,Travis Head,1993-12-29,Left-handed,Off spin,Australian
Australia,2025,Josh Inglish,,,,
Australia,2025,Marnus Labuschagne,1994-06-22,Right-handed,Leg spin,Australian
Australia,2025,Sean Abbott,1992-02-29,Right-handed,Fast seam,Australian
Australia,2025,Cooper Connolly,2003-08-22,Left-handed,Left-arm slow orthodox,
Australia,2025,Aaron Hardie,,,,
Australia,2025,Glenn Maxwell,1988-10-14,Right-handed,Off spin,Australian
Australia,2025,Ben Dwarshuis,1994-06-23,Left-handed,Left-arm fast medium,
Australia,2025,Nathan Ellis,1994-09-22,Right-handed,Right-arm fast-medium,
Australia,2025,Spencer Johnson,,,,
Australia,2025,Tanveer Sangha,,,,
Australia,2025,Adam Zampa,1992-03-31,Right-handed,Leg spin,Australian
Bangladesh,2000,Akram Khan,1968-11-01,Right-handed,Right-arm medium,Pakistani
Bangladesh,2000,Al Sahariar,1978-04-23,Right-handed,Right-arm leg break,Bangladeshi
Bangladesh,2000,Aminul Islam,1968-02-02,Right-handed,Right-arm off break,Pakistani
Bangladesh,2000,Habibul Bashar,1972-08-17,Right-handed,Right-arm off break,Bangladeshi
Bangladesh,2000,Javed Omer,1976-11-25,Right-handed,,Bangladeshi
Bangladesh,2000,Khaled Mashud,1976-02-08,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2000,Naimur Rahman,1974-09-19,Right-handed,Right-arm off break,Bangladeshi
Bangladesh,2000,Mohammad Rafique,1970-09-05,Right-handed,Slow left-arm orthodox,Pakistani
Bangladesh,2000,Enamul Haque,1966-02-27,Right-handed,Slow left-arm orthodox,Pakistani
Bangladesh,2000,Hasibul Hossain,1977-06-03,Right-handed,Right-arm fast-medium,Bangladeshi
Bangladesh,2000,Manjurul Islam,1979-11-07,Right-handed,,Bangladeshi
Bangladesh,2000,Mushfiqur Rahman,1987-05-09,Right-handed,,Bangladeshi
Bangladesh,2000,Ranjan Das,,,,
Bangladesh,2000,Shahriar Hossain,1976-06-01,Right-handed,Right-arm off break,Bangladeshi
Bangladesh,2002,Javed Omer,1976-11-25,Right-handed,,Bangladeshi
Bangladesh,2002,Al Sahariar,1978-04-23,Right-handed,Right-arm leg break,Bangladeshi
Bangladesh,2002,Habibul Bashar,1972-08-17,Right-handed,Right-arm off break,Bangladeshi
Bangladesh,2002,Mazharul Haque,,,,
Bangladesh,2002,Tushar Imran,1983-12-10,Right-handed,Right-arm medium,Bangladeshi
Bangladesh,2002,Khaled Mashud,1976-02-08,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2002,Alok Kapali,1984-01-01,Right-handed,Right-arm leg break,Bangladeshi
Bangladesh,2002,Khaled Mahmud,1971-07-26,Right-handed,Right-arm medium,Bangladeshi
Bangladesh,2002,Mohammad Rafique,1970-09-05,Right-handed,Slow left-arm orthodox,Pakistani
Bangladesh,2002,Tapash Baisya,1982-12-25,Right-handed,Right-arm fast-medium,Bangladeshi
Bangladesh,2002,Manjurul Islam,1979-11-07,Right-handed,,Bangladeshi
Bangladesh,2002,Mohammad Ashraful,1984-07-07,Right-handed,Right-arm leg break,Bangladeshi
Bangladesh,2002,Fahim Muntasir,,,,
Bangladesh,2002,Talha Jubair,1985-12-10,Right-handed,Right-arm medium-fast,Bangladeshi
Bangladesh,2004,Javed Omer,1976-11-25,Right-handed,,Bangladeshi
Bangladesh,2004,Mohammad Ashraful,1984-07-07,Right-handed,Right-arm leg break,Bangladeshi
Bangladesh,2004,Nafees Iqbal,,,,
Bangladesh,2004,Rajin Saleh,1983-11-20,Right-handed,Right-arm off break,
Bangladesh,2004,Aftab Ahmed,1985-11-10,Right-handed,Right-arm medium,Bangladeshi
Bangladesh,2004,Khaled Mahmud,1971-07-26,Right-handed,Right-arm medium,Bangladeshi
Bangladesh,2004,Khaled Mashud,1976-02-08,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2004,Manzarul Islam,,,,
Bangladesh,2004,Mushfiqur Rahman,1987-05-09,Right-handed,,Bangladeshi
Bangladesh,2004,Mohammad Rafique,1970-09-05,Right-handed,Slow left-arm orthodox,Pakistani
Bangladesh,2004,Tapash Baisya,1982-12-25,Right-handed,Right-arm fast-medium,Bangladeshi
Bangladesh,2004,Nazmul Hossain,1986-12-06,Right-handed,Right-arm fast-medium,
Bangladesh,2006,Shahriar Nafees,1986-01-25,Right-handed,,Bangladeshi
Bangladesh,2006,Mohammad Ashraful,1984-07-07,Right-handed,Right-arm leg break,Bangladeshi
Bangladesh,2006,Rajin Saleh,1983-11-20,Right-handed,Right-arm off break,
Bangladesh,2006,Aftab Ahmed,1985-11-10,Right-handed,Right-arm medium,Bangladeshi
Bangladesh,2006,Shakib Al Hasan,1987-03-24,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2006,Habibul Bashar,1972-08-17,Right-handed,Right-arm off break,Bangladeshi
Bangladesh,2006,Mehrab Hossain jnr,,,,
Bangladesh,2006,Farhad Reza,1986-06-16,Right-handed,Right-arm fast-medium,
Bangladesh,2006,Khaled Mashud,1976-02-08,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2006,Mohammad Rafique,1970-09-05,Right-handed,Slow left-arm orthodox,Pakistani
Bangladesh,2006,Mashrafe Mortaza,1983-10-05,Right-handed,Fast seam,Bangladeshi
Bangladesh,2006,Abdur Razzak,1982-06-15,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2006,Syed Rasel,1984-07-03,Right-handed,Left-arm medium-fast,Bangladeshi
Bangladesh,2017,Imrul Kayes,1987-02-02,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2017,Mosaddek Hossain,1995-12-10,Right-handed,Off spin,Bangladeshi
Bangladesh,2017,Mushfiqur Rahim,1987-05-09,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2017,Sabbir Rahman,1991-11-22,Right-handed,Leg spin,Bangladeshi
Bangladesh,2017,Tamim Iqbal,1989-03-20,Left-handed,Right-arm off spin,Bangladeshi
Bangladesh,2017,Mahmudullah,1986-02-04,Right-handed,Right-arm off break,BD
Bangladesh,2017,Mehidy Hasan Miraz,,,,
Bangladesh,2017,Shakib Al Hasan,1987-03-24,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2017,Soumya Sarkar,1993-02-25,Left-handed,Medium seam,Bangladeshi
Bangladesh,2017,Mashrafe Mortaza,1983-10-05,Right-handed,Fast seam,Bangladeshi
Bangladesh,2017,Mustafizur Rahman,1995-09-06,Left-handed,Fast seam,Bangladeshi
Bangladesh,2017,Rubel Hossain,1990-01-01,Right-handed,Fast seam,Bangladeshi
Bangladesh,2017,Shafiul Islam,1989-10-06,Right-handed,Fast seam,Bangladeshi
Bangladesh,2017,Sunzamul Islam,1990-01-17,Left-handed,Orthodox spin,Bangladeshi
Bangladesh,2017,Taskin Ahmed,1995-04-03,Left-handed,Fast seam,BD
Bangladesh,2025,Najmul Hossain Shanto,1998-08-25,Left-handed,Off spin,Bangladeshi
Bangladesh,2025,Jaker Ali,1998-02-22,Right-handed,,
Bangladesh,2025,Mushfiqur Rahim,1987-05-09,Right-handed,Wicket-keeper,Bangladeshi
Bangladesh,2025,Parvez Hossain Emon,,,,
Bangladesh,2025,Tanzid Hasan,2000-12-01,Left-handed,,
Bangladesh,2025,Towhid Hridoy,2000-12-04,Right-handed,Right-arm off spin,
Bangladesh,2025,Mahmudullah,1986-02-04,Right-handed,Right-arm off break,BD
Bangladesh,2025,Mehidy Hasan Miraz,,,,
Bangladesh,2025,Nasum Ahmed,1994-12-05,Left-handed,Left-arm orthodox spin,
Bangladesh,2025,Rishad Hossain,2002-07-15,Right-handed,Right-arm leg break,
Bangladesh,2025,Soumya Sarkar,1993-02-25,Left-handed,Medium seam,Bangladeshi
Bangladesh,2025,Tanzim Hasan Sakib,2002-10-20,Right-handed,Right-arm medium-fast,
Bangladesh,2025,Mustafizur Rahman,1995-09-06,Left-handed,Fast seam,Bangladeshi
Bangladesh,2025,Nahid Rana,,,,
Bangladesh,2025,Taskin Ahmed,1995-04-03,Left-handed,Fast seam,BD
England,1998,Nick Knight,1969-11-28,Right-handed,Right-arm medium,English
England,1998,Ali Brown,,,,
England,1998,Mark Ealham,1969-08-27,Right-handed,Right-arm medium-fast,English
England,1998,Graeme Hick,1966-05-23,Right-handed,Right-arm off-break,Zimbabwean
England,1998,Neil Fairbrother,1963-09-09,Right-handed,Left-arm medium,English
England,1998,Graham Lloyd,,,,
England,1998,Adam Hollioake,1971-09-05,Right-handed,Right-arm medium,Australian
England,1998,Jack Russell,1963-08-15,Right-handed,Right-arm off-break,English
England,1998,Ashley Giles,1973-03-19,Right-handed,Slow left-arm orthodox,English
England,1998,Peter Martin,1968-11-15,Right-handed,Right-arm fast-medium,English
England,1998,Ian Austin,1966-05-30,Right-handed,Right-arm medium,English
England,2000,Nasser Hussain,1968-03-28,Right-handed,Leg spin,Indian
England,2000,Graeme Hick,1966-05-23,Right-handed,Right-arm off-break,Zimbabwean
England,2000,Vikram Solanki,,,,
England,2000,Alec Stewart,1963-04-08,Right-handed,Medium seam,English
England,2000,Graham Thorpe,1969-08-01,Left-handed,Medium seam,English
England,2000,Marcus Trescothick,1975-12-25,Left-handed,Medium seam,English
England,2000,Mark Ealham,1969-08-27,Right-handed,Right-arm medium-fast,English
England,2000,Andrew Flintoff,1977-12-06,Right-handed,Fast seam,English
England,2000,Craig White,1969-12-16,Right-handed,Right-arm fast-medium,English
England,2000,Andy Caddick,1968-11-21,Right-handed,Fast seam,English
England,2000,Ashley Giles,1973-03-19,Right-handed,Slow left-arm orthodox,English
England,2000,Darren Gough,1970-09-18,Right-handed,Fast seam,English
England,2000,Matthew Hoggard,1976-12-31,Right-handed,Right-arm fast-medium,
England,2000,Mark Alleyne,,,,
England,2000,Paul Grayson,,,,
England,2002,Marcus Trescothick,1975-12-25,Left-handed,Medium seam,English
England,2002,Nick Knight,1969-11-28,Right-handed,Right-arm medium,English
England,2002,Nasser Hussain,1968-03-28,Right-handed,Leg spin,Indian
England,2002,Ronnie Irani,1971-10-26,Right-handed,Right-arm medium,English
England,2002,Ashley Giles,1973-03-19,Right-handed,Slow left-arm orthodox,English
England,2002,Ian Blackwell,1978-06-10,Right-handed,Slow left-arm orthodox,English
England,2002,Owais Shah,,,,
England,2002,Alec Stewart,1963-04-08,Right-handed,Medium seam,English
England,2002,Dominic Cork,1971-08-07,Right-handed,Right-arm fast-medium,English
England,2002,Jeremy Snape,,,,
England,2002,Andy Caddick,1968-11-21,Right-handed,Fast seam,English
England,2002,Matthew Hoggard,1976-12-31,Right-handed,Right-arm fast-medium,
England,2004,Marcus Trescothick,1975-12-25,Left-handed,Medium seam,English
England,2004,Vikram Solanki,,,,
England,2004,Michael Vaughan,1974-10-29,Right-handed,Off spin,English
England,2004,Andrew Strauss,1977-03-02,Left-handed,Medium seam,English
England,2004,Andrew Flintoff,1977-12-06,Right-handed,Fast seam,English
England,2004,Paul Collingwood,1976-05-26,Right-handed,Medium seam,English
England,2004,Geraint Jones,,,,
England,2004,Ashley Giles,1973-03-19,Right-handed,Slow left-arm orthodox,English
England,2004,Alex Wharf,,,,
England,2004,Darren Gough,1970-09-18,Right-handed,Fast seam,English
England,2004,Steve Harmison,1978-10-23,Right-handed,Right-arm fast,
England,2006,Andrew Strauss,1977-03-02,Left-handed,Medium seam,English
England,2006,Ian Bell,1982-04-11,Right-handed,Medium seam,English
England,2006,Andrew Flintoff,1977-12-06,Right-handed,Fast seam,English
England,2006,Michael Yardy,1980-11-27,Right-handed,,English
England,2006,Kevin Pietersen,1980-06-27,Right-handed,Off spin,English
England,2006,Paul Collingwood,1976-05-26,Right-handed,Medium seam,English
England,2006,Jamie Dalrymple,1981-01-21,Right-handed,Right-arm off break,Kenyan
England,2006,Jon Lewis,1975-08-26,Right-handed,Right-arm medium-fast,
England,2006,Chris Read,,,,
England,2006,Sajid Mahmood,1981-12-21,Right-handed,Right-arm fast-medium,English
England,2006,Steve Harmison,1978-10-23,Right-handed,Right-arm fast,
England,2006,James Anderson,1982-07-30,Left-handed,Fast seam,English
England,2009,Andrew Strauss,1977-03-02,Left-handed,Medium seam,English
England,2009,Steven Davies,,,,
England,2009,Joe Denly,1986-03-16,Left-handed,Leg spin,English
England,2009,Eoin Morgan,1986-09-10,Left-handed,Medium seam,ENG
England,2009,Owais Shah,,,,
England,2009,Luke Wright,1985-03-07,Left-handed,Right-arm medium,English
England,2009,Ravi Bopara,1985-05-04,Right-handed,Right-arm medium,English
England,2009,Tim Bresnan,1985-02-28,Right-handed,Right-arm fast-medium,English
England,2009,Paul Collingwood,1976-05-26,Right-handed,Medium seam,English
England,2009,James Anderson,1982-07-30,Left-handed,Fast seam,English
England,2009,Stuart Broad,1986-06-24,Left-handed,Fast seam,English
England,2009,Graham Onions,,,,
England,2009,Adil Rashid,1988-02-17,Right-handed,Leg spin,English
England,2009,Ryan Sidebottom,,,,
England,2009,Graeme Swann,1979-03-24,Right-handed,Off spin,English
England,2013,Alastair Cook,1984-12-25,Right-handed,Medium seam,English
England,2013,Jonny Bairstow,1989-09-26,Right-handed,Medium seam,English
England,2013,Ian Bell,1982-04-11,Right-handed,Medium seam,English
England,2013,Jos Buttler,1990-09-08,Right-handed,Wicket-keeper,English
England,2013,Eoin Morgan,1986-09-10,Left-handed,Medium seam,ENG
England,2013,Joe Root,1990-12-30,Right-handed,Off spin,English
England,2013,Jonathan Trott,1981-04-22,Right-handed,Right-arm medium,English
England,2013,Ravi Bopara,1985-05-04,Right-handed,Right-arm medium,English
England,2013,Tim Bresnan,1985-02-28,Right-handed,Right-arm fast-medium,English
England,2013,James Tredwell,1982-02-27,Left-handed,Right-arm off break,English
England,2013,Chris Woakes,1989-03-02,Right-handed,Fast seam,English
England,2013,James Anderson,1982-07-30,Left-handed,Fast seam,English
England,2013,Stuart Broad,1986-06-24,Left-handed,Fast seam,English
England,2013,Steven Finn,1989-04-04,Right-handed,Right-arm fast,English
England,2013,Graeme Swann,1979-03-24,Right-handed,Off spin,English
England,2017,Eoin Morgan,1986-09-10,Left-handed,Medium seam,ENG
England,2017,Jonny Bairstow,1989-09-26,Right-handed,Medium seam,English
England,2017,Sam Billings,1991-06-15,Right-handed,,English
England,2017,Jos Buttler,1990-09-08,Right-handed,Wicket-keeper,English
England,2017,Alex Hales,1989-01-03,Right-handed,Medium seam,English
England,2017,Joe Root,1990-12-30,Right-handed,Off spin,English
England,2017,Jason Roy,1990-07-21,Right-handed,,English
England,2017,Moeen Ali,1987-06-18,Left-handed,Off spin,English
England,2017,Ben Stokes,1991-06-04,Left-handed,Fast seam,English
England,2017,David Willey,1990-02-28,Left-handed,Fast seam,English
England,2017,Jake Ball,1991-03-14,Right-handed,Fast seam,English
England,2017,Steven Finn,1989-04-04,Right-handed,Right-arm fast,English
England,2017,Liam Plunkett,1985-04-06,Right-handed,Fast seam,English
England,2017,Adil Rashid,1988-02-17,Right-handed,Leg spin,English
England,2017,Mark Wood,1990-01-11,Right-handed,Fast seam,English
England,2025,Jos Buttler,1990-09-08,Right-handed,Wicket-keeper,English
England,2025,Tom Banton,1998-11-11,Right-handed,,English
England,2025,Harry Brook,1999-02-22,Right-handed,Right-arm medium,
England,2025,Ben Duckett,1994-10-17,Left-handed,,English
England,2025,Joe Root,1990-12-30,Right-handed,Off spin,English
England,2025,Phil Salt,1996-08-28,Right-handed,,
England,2025,Jamie Smith,,,,
England,2025,Liam Livingstone,1993-08-04,Right-handed,Leg spin,English
England,2025,Jamie Overton,1994-04-10,Right-handed,Right-arm fast,
England,2025,Rehan Ahmed,2004-08-13,Right-handed,Right-arm leg break,
England,2025,Jofra Archer,1995-04-01,Right-handed,Fast seam,English
England,2025,Gus Atkinson,1998-01-19,Right-handed,Right-arm fast,
England,2025,Saqib Mahmood,1997-02-25,Right-handed,Fast seam,English
England,2025,Adil Rashid,1988-02-17,Right-handed,Leg spin,English
England,2025,Mark Wood,1990-01-11,Right-handed,Fast seam,English
India,1998,Sourav Ganguly,1972-07-08,Left-handed,Medium seam,Indian
India,1998,Sachin Tendulkar,1973-04-24,Right-handed,Off spin,Indian
India,1998,Mohammad Azharuddin,1963-02-08,Right-handed,Medium seam,Indian
India,1998,Rahul Dravid,1973-01-11,Right-handed,Off spin,Indian
India,1998,Ajay Jadeja,1971-02-01,Right-handed,Medium seam,Indian
India,1998,Robin Singh,1963-09-14,Right-handed,Right-arm medium-fast,Trinidadian
India,1998,Ajit Agarkar,1977-12-04,Right-handed,Fast seam,Indian
India,1998,Sunil Joshi,,,,
India,1998,Javagal Srinath,1969-08-31,Right-handed,Fast seam,Indian
India,1998,Nayan Mongia,1969-12-19,Right-handed,Wicket-keeper,Indian
India,1998,Anil Kumble,1970-10-17,Right-handed,Leg spin,Indian
India,2000,Sourav Ganguly,1972-07-08,Left-handed,Medium seam,Indian
India,2000,Hemang Badani,,,,
India,2000,Rahul Dravid,1973-01-11,Right-handed,Off spin,Indian
India,2000,Vinod Kambli,1972-01-18,Right-handed,Right-arm off-break,Indian
India,2000,Sridharan Sriram,,,,
India,2000,Sachin Tendulkar,1973-04-24,Right-handed,Off spin,Indian
India,2000,Yuvraj Singh,1981-12-12,Left-handed,Orthodox spin,Indian
India,2000,Sunil Joshi,,,,
India,2000,Robin Singh,1963-09-14,Right-handed,Right-arm medium-fast,Trinidadian
India,2000,Ajit Agarkar,1977-12-04,Right-handed,Fast seam,Indian
India,2000,Zaheer Khan,1978-10-07,Right-handed,Fast seam,Indian
India,2000,Anil Kumble,1970-10-17,Right-handed,Leg spin,Indian
India,2000,Venkatesh Prasad,1969-08-05,Right-handed,Medium seam,Indian
India,2000,Vijay Dahiya,,,,
India,2002,Sourav Ganguly,1972-07-08,Left-handed,Medium seam,Indian
India,2002,VVS Laxman,,,,
India,2002,Virender Sehwag,1978-10-20,Right-handed,Off spin,Indian
India,2002,Dinesh Mongia,1977-04-17,Right-handed,Slow left-arm orthodox,Indian
India,2002,Sachin Tendulkar,1973-04-24,Right-handed,Off spin,Indian
India,2002,Rahul Dravid,1973-01-11,Right-handed,Off spin,Indian
India,2002,Javagal Srinath,1969-08-31,Right-handed,Fast seam,Indian
India,2002,Yuvraj Singh,1981-12-12,Left-handed,Orthodox spin,Indian
India,2002,Mohammad Kaif,1980-12-01,Left-handed,Right-arm off break,Indian
