team,year,player_name,dob,batting_style,bowling_style,first_class_team
England,1975,Derek Underwood,8 June 1945,Right-handed,Left-arm orthodox spin,Kent
England,1975,Frank Hayes,6 December 1946,Right-handed,Right-arm medium,Lancashire
England,1975,Geoff Arnold,3 September 1944,Right-handed,Right-arm fast-medium,Surrey
England,1975,John Jameson (wk),30 June 1941,Right-handed,Wicket-keeper,Warwickshire
England,1975,John Snow,13 October 1941,Right-handed,Right-arm fast-medium,Sussex
England,1975,Keith Fletcher,20 May 1944,Right-handed,Right-arm legbreak,Essex
England,1975,Mike Denness (c),1 December 1940,Right-handed,,Kent
England,1975,Peter Lever,17 September 1940,Right-handed,Right-arm fast-medium,Lancashire
England,1975,Tony Greig,6 October 1946,Right-handed,Right-arm medium,Sussex
India,1975,Anshuman Gaekwad,23 September 1952,Right-handed,Right-arm offbreak,Baroda
India,1975,Bishen Singh Bedi (vc),25 September 1946,Right-handed,Left-arm slow orthodox,Delhi
India,1975,Brijesh Patel,24 November 1952,Right-handed,Right-arm offbreak,Karnataka
India,1975,Eknath Solkar,19 March 1948,Left-handed,Left-arm slow orthodox,Bombay
India,1975,Farokh Engineer (wk),25 February 1938,Right-handed,Wicket-keeper,Bombay
India,1975,Gundappa Viswanath,12 February 1949,Right-handed,Right-arm legbreak,Karnataka
India,1975,Karsan Ghavri,28 February 1951,Left-handed,Left-arm medium,Bombay
India,1975,Madan Lal,20 March 1951,Right-handed,Right-arm medium,Delhi
India,1975,Mohinder Amarnath,24 September 1950,Right-handed,Right-arm medium,Delhi
India,1975,Parthasarathy Sharma,5 January 1948,Right-handed,Right-arm medium,Rajasthan
India,1975,Srinivasaraghavan Venkataraghavan (c),21 April 1945,Right-handed,Right-arm offbreak,Tamil Nadu
India,1975,Sunil Gavaskar,10 July 1949,Right-handed,Right-arm medium/offbreak,Bombay
India,1975,Syed Abid Ali,9 September 1941,Right-handed,Right-arm medium-fast,Hyderabad
India,1975,Syed Kirmani (wk),29 December 1949,Right-handed,Wicket-keeper,Karnataka
New Zealand,1975,Barry Hadlee,14 December 1941,Right-handed,,Canterbury
New Zealand,1975,Brian Hastings,23 March 1940,Right-handed,Right-arm legbreak googly,Canterbury
New Zealand,1975,Brian McKechnie,6 November 1953,Right-handed,Right-arm fast-medium,Otago
New Zealand,1975,David O'Sullivan,21 February 1951,Right-handed,Slow left-arm orthodox,Central Districts
New Zealand,1975,Dayle Hadlee,6 January 1948,Right-handed,Right-arm medium-fast,Canterbury
New Zealand,1975,Geoff Howarth,29 March 1951,Right-handed,Right-arm offbreak,Northern Districts
New Zealand,1975,Glenn Turner (c),26 May 1947,Right-handed,Right-arm offbreak,Otago
New Zealand,1975,Hedley Howarth,25 December 1943,Left-handed,Left-arm orthodox spin,Auckland
New Zealand,1975,John Morrison,27 August 1947,Right-handed,Left-arm orthodox spin,Wellington
New Zealand,1975,John Parker,21 February 1951,Right-handed,Right-arm legbreak,Northern Districts
New Zealand,1975,Ken Wadsworth (wk),30 November 1946,Right-handed,Wicket-keeper,Central Districts
New Zealand,1975,Lance Cairns,10 October 1949,Right-handed,Right-arm medium-fast,Otago
New Zealand,1975,Richard Collinge,2 April 1946,Right-handed,Left-arm medium-fast,Wellington
New Zealand,1975,Richard Hadlee,3 July 1951,Left-handed,Right-arm fast,Canterbury
Pakistan,1975,Asif Iqbal (c),6 July 1943,Right-handed,Right-arm medium,Karachi
Pakistan,1975,Asif Masood,23 January 1946,Right-handed,Right-arm medium-fast,PIA
Pakistan,1975,Imran Khan,5 October 1952,Right-handed,Right-arm fast,PIA
Pakistan,1975,Javed Miandad,12 June 1957,Right-handed,Right-arm legbreak,Habib Bank
Pakistan,1975,Majid Khan (vc),28 September 1946,Right-handed,Right-arm medium/offbreak,Rawalpindi
Pakistan,1975,Mushtaq Mohammad,22 November 1943,Right-handed,Right-arm legbreak,Karachi
Pakistan,1975,Naseer Malik,1 February 1950,Right-handed,Right-arm medium-fast,Karachi
Pakistan,1975,Pervez Mir,24 September 1953,Right-handed,Right-arm medium-fast,Lahore
Pakistan,1975,Sadiq Mohammad,3 May 1945,Left-handed,Right-arm legbreak,Karachi
Pakistan,1975,Sarfraz Nawaz,1 December 1948,Right-handed,Right-arm fast-medium,Lahore
Pakistan,1975,Shafiq Ahmed,28 March 1949,Right-handed,Right-arm fast-medium,Lahore
Pakistan,1975,Wasim Bari (wk),23 March 1948,Right-handed,Wicket-keeper,Karachi
Pakistan,1975,Wasim Raja,3 July 1952,Left-handed,Right-arm legbreak,Lahore
Pakistan,1975,Zaheer Abbas,24 July 1947,Right-handed,Right-arm offbreak,Karachi
Sri Lanka,1975,Ajit de Silva,12 December 1952,Left-handed,Left-arm orthodox spin,Bloomfield
Sri Lanka,1975,Anura Ranasinghe,13 October 1956,Right-handed,Left-arm orthodox spin,Burgher
Sri Lanka,1975,Anura Tennekoon (c),29 October 1946,Right-handed,Left-arm orthodox spin,Sinhalese SC
Sri Lanka,1975,Bandula Warnapura,1 March 1953,Right-handed,Right-arm medium,Bloomfield
Sri Lanka,1975,David Heyn,26 June 1945,Left-handed,Right-arm medium,Nondescripts
Sri Lanka,1975,Dennis Chanmugam,13 August 1948,Right-handed,Right-arm medium,Sinhalese SC
Sri Lanka,1975,Duleep Mendis,25 August 1952,Right-handed,,Sinhalese SC
Sri Lanka,1975,Lalith Kaluperuma,25 June 1949,Right-handed,Right-arm offbreak,Bloomfield
Sri Lanka,1975,Mevan Pieris,16 February 1946,Left-handed,Right-arm fast-medium,Sinhalese SC
Sri Lanka,1975,Michael Tissera,23 March 1939,Right-handed,Right-arm legbreak,Colombo CC
Sri Lanka,1975,Ranjit Fernando (wk),22 February 1944,Right-handed,Wicket-keeper,Nondescripts
Sri Lanka,1975,Somachandra de Silva,11 June 1942,Right-handed,Right-arm legbreak,Bloomfield
Sri Lanka,1975,Sunil Wettimuny,2 February 1949,Right-handed,Wicket-keeper,Sinhalese SC
Sri Lanka,1975,Tony Opatha,5 August 1947,Right-handed,Right-arm medium,Colombo CC
West Indies,1975,Alvin Kallicharran,21 March 1949,Left-handed,Right-arm offbreak,Guyana
West Indies,1975,Andy Roberts,29 January 1951,Right-handed,Right-arm fast,Leeward Islands
West Indies,1975,Bernard Julien,13 March 1950,Right-handed,Left-arm medium-fast,Trinidad & Tobago
West Indies,1975,Clive Lloyd (c),31 August 1944,Left-handed,Right-arm medium,Guyana
West Indies,1975,Collis King,11 June 1951,Right-handed,Right-arm medium,Barbados
West Indies,1975,Deryck Murray (wk),20 May 1943,Right-handed,Wicket-keeper,Trinidad & Tobago
West Indies,1975,Gordon Greenidge,1 May 1951,Right-handed,Right-arm medium,Barbados
West Indies,1975,Keith Boyce,11 October 1943,Right-handed,Right-arm fast-medium,Barbados
West Indies,1975,Lance Gibbs,29 September 1934,Right-handed,Right-arm offbreak,Guyana
West Indies,1975,Maurice Foster,9 May 1943,Right-handed,Right-arm offbreak,Jamaica
West Indies,1975,Rohan Kanhai,26 December 1935,Right-handed,Right-arm medium,Guyana
West Indies,1975,Roy Fredericks,11 November 1942,Left-handed,Slow left-arm wrist-spin,Guyana
West Indies,1975,Vanburn Holder,10 October 1945,Right-handed,Right-arm fast-medium,Barbados
West Indies,1975,Viv Richards,7 March 1952,Right-handed,Right-arm offbreak,Leeward Islands
Australia,1979,Alan Hurst,15 July 1950,Right-handed,Right-arm fast,Victoria
Australia,1979,Allan Border,27 July 1955,Left-handed,Left-arm orthodox spin,Queensland
Australia,1979,Andrew Hilditch,20 May 1956,Right-handed,Right-arm medium,South Australia
Australia,1979,Dav Whatmore,16 March 1954,Right-handed,,Victoria
Australia,1979,Gary Cosier,25 April 1953,Right-handed,Right-arm medium,South Australia
Australia,1979,Geoff Dymock,21 July 1945,Left-handed,Left-arm fast-medium,Queensland
Australia,1979,Graeme Porter,18 March 1955,Right-handed,Right hand medium,Western Australia
Australia,1979,Graham Yallop,7 October 1952,Left-handed,Left-arm medium,Victoria
Australia,1979,Jeff Moss,29 June 1947,Left-handed,,Victoria
Australia,1979,Kevin Wright (wk),27 December 1953,Right-handed,Wicket-keeper,Western Australia
Australia,1979,Kim Hughes (c),26 January 1954,Right-handed,Right-arm medium,Western Australia
Australia,1979,Rick Darling,1 May 1957,Right-handed,,South Australia
Australia,1979,Rodney Hogg,5 March 1951,Right-handed,Right hand fast,South Australia
Australia,1979,Trevor Laughlin,30 January 1951,Left-handed,Right-arm medium,Victoria
Canada,1979,Bryan Mauricette (c) (wk),4 September 1946,Right-handed,Wicket-keeper,Canada
Canada,1979,Cecil Marshall,13 September 1939,Right-handed,Right-arm medium,Canada
Canada,1979,Charles Baksh,15 March 1940,Right-handed,,Canada
Canada,1979,Christopher Chappell,17 July 1955,Right-handed,,Canada
Canada,1979,Cornelius Henry,16 September 1956,Right-handed,Right-arm medium,Canada
Canada,1979,Franklyn Dennis,26 September 1947,Right-handed,,Canada
Canada,1979,Garnet Brisbane,31 December 1938,Right-handed,Left-arm orthodox spin,Canada
Canada,1979,Glenroy Sealy,11 June 1940,Right-handed,Right-arm medium,Canada
Canada,1979,Jitendra Patel,26 November 1945,Left-handed,Left-arm orthodox spin,Canada
Canada,1979,John Valentine,20 September 1954,Left-handed,Left-arm medium,Canada
Canada,1979,John Vaughan,8 June 1945,Right-handed,Right-arm medium-fast,Canada
Canada,1979,Martin Stead,1 June 1958,Right-handed,Right-arm medium,Canada
Canada,1979,Robert Callender,2 November 1950,Right-handed,Right-arm medium-fast,Canada
Canada,1979,Tariq Javed,12 June 1949,Right-handed,Right-arm leg-break,Canada
England,1979,Bob Taylor (wk),17 July 1941,Right-handed,Wicket-keeper,Derbyshire
England,1979,Bob Willis,30 May 1949,Right-handed,Right-arm fast,Warwickshire
England,1979,Chris Old,22 December 1948,Left-handed,Right-arm fast-medium,Yorkshire
England,1979,David Gower,1 April 1957,Left-handed,Right-arm off-break,Leicestershire
England,1979,Derek Randall,24 February 1951,Right-handed,Right-arm medium,Nottinghamshire
England,1979,Geoff Miller,8 September 1952,Right-handed,Right-arm off-break,Derbyshire
England,1979,Geoffrey Boycott,21 October 1940,Right-handed,Right-arm medium,Yorkshire
England,1979,Graham Gooch,23 July 1953,Right-handed,Right-arm medium,Essex
England,1979,Ian Botham,24 November 1955,Right-handed,Right-arm fast-medium,Somerset
England,1979,Mike Brearley (c),28 April 1942,Right-handed,Wicket-keeper,Middlesex
England,1979,Mike Gatting,6 June 1957,Right-handed,Right-arm medium,Middlesex
England,1979,Mike Hendrick,22 October 1948,Right-handed,Right-arm fast-medium,Derbyshire
England,1979,Phil Edmonds,8 March 1951,Right-handed,Left-arm orthodox spin,Middlesex
England,1979,Wayne Larkins,22 November 1953,Right-handed,Right-arm medium,Northamptonshire
India,1979,Anshuman Gaekwad,23 September 1952,Right-handed,Right-arm offbreak,Baroda
India,1979,Bharath Reddy,12 November 1954,Right-handed,Wicket-keeper,Tamil Nadu
India,1979,Bishan Singh Bedi,25 September 1946,Right-handed,Left-arm slow orthodox,Delhi
India,1979,Brijesh Patel,24 November 1952,Right-handed,Right-arm offbreak,Karnataka
India,1979,Dilip Vengsarkar,6 April 1956,Right-handed,Right-arm medium,Bombay
India,1979,Gundappa Viswanath,12 February 1949,Right-handed,Right-arm legbreak,Karnataka
India,1979,Kapil Dev,6 January 1959,Right-handed,Right-arm fast-medium,Haryana
India,1979,Karsan Ghavri,28 February 1951,Left-handed,Left-arm medium,Bombay
India,1979,Mohinder Amarnath,24 September 1950,Right-handed,Right-arm medium,Delhi
India,1979,Srinivasaraghavan Venkataraghavan (c),21 April 1945,Right-handed,Right-arm offbreak,Tamil Nadu
India,1979,Sunil Gavaskar (vc),10 July 1949,Right-handed,Right-arm medium/offbreak,Bombay
India,1979,Surinder Khanna (wk),3 June 1956,Right-handed,Wicket-keeper,Delhi
India,1979,Yajurvindra Singh,1 August 1952,Right-handed,Right-arm medium,Maharashtra
India,1979,Yashpal Sharma,11 August 1954,Right-handed,Right-arm medium,Punjab
New Zealand,1979,Brian McKechnie,6 November 1953,Right-handed,Right-arm fast-medium,Otago
New Zealand,1979,Bruce Edgar,23 November 1956,Left-handed,Wicket-keeper,Wellington
New Zealand,1979,Ewen Chatfield,3 July 1950,Right-handed,Right-arm medium-fast,Wellington
New Zealand,1979,Gary Troup,3 October 1952,Right-handed,Left-arm fast-medium,Auckland
New Zealand,1979,Geoff Howarth,29 March 1951,Right-handed,Right-arm offbreak,Auckland
New Zealand,1979,Glenn Turner,26 May 1947,Right-handed,Right-arm offbreak,Otago
New Zealand,1979,Jeremy Coney,21 June 1952,Right-handed,Right-arm medium,Wellington
New Zealand,1979,John Morrison,27 August 1947,Right-handed,Left-arm orthodox spin,Wellington
New Zealand,1979,John Wright,5 July 1954,Left-handed,Right-arm medium,Northern Districts
New Zealand,1979,Lance Cairns,10 October 1949,Right-handed,Right-arm medium-fast,Otago
New Zealand,1979,Mark Burgess (c),17 July 1944,Right-handed,Right-arm off-break,Auckland
New Zealand,1979,Richard Hadlee,3 July 1951,Left-handed,Right-arm fast,Canterbury
New Zealand,1979,Warren Lees (wk),19 March 1952,Right-handed,Wicket-keeper,Otago
New Zealand,1979,Warren Stott,8 December 1946,Right-handed,Right-arm medium,Auckland
Pakistan,1979,Asif Iqbal (c),6 June 1943,Right-handed,Right-arm medium,Karachi
Pakistan,1979,Haroon Rashid,25 March 1953,Right-handed,Right-arm medium,Karachi
Pakistan,1979,Hasan Jamil,25 July 1952,Left-handed,Left-arm medium,PIA
Pakistan,1979,Imran Khan,25 November 1952,Right-handed,Right-arm fast,PIA
Pakistan,1979,Iqbal Qasim,6 August 1953,Left-handed,Left-arm orthodox spin,Karachi
Pakistan,1979,Javed Miandad,12 June 1957,Right-handed,Right-arm legbreak,Habib Bank
Pakistan,1979,Majid Khan,28 September 1946,Right-handed,Right-arm medium/offbreak,Rawalpindi
Pakistan,1979,Mudassar Nazar,6 April 1956,Right-handed,Right-arm medium,Lahore
Pakistan,1979,Sadiq Mohammad,3 May 1945,Left-handed,Right-arm legbreak,Karachi
Pakistan,1979,Sarfraz Nawaz,1 December 1948,Right-handed,Right-arm fast-medium,Lahore
Pakistan,1979,Sikander Bakht,25 August 1957,Right-handed,Right-arm medium-fast,Karachi
Pakistan,1979,Wasim Bari (wk),23 March 1948,Right-handed,Wicket-keeper,Karachi
Pakistan,1979,Wasim Raja,3 July 1952,Left-handed,Right-arm legbreak,Lahore
Pakistan,1979,Zaheer Abbas,24 July 1947,Right-handed,Right-arm offbreak,Karachi
Sri Lanka,1979,Ajit de Silva,12 December 1952,Left-handed,Left-arm orthodox spin,BCAC
Sri Lanka,1979,Anura Tennekoon (c),29 October 1946,Right-handed,Left-arm orthodox spin,SSC
Sri Lanka,1979,Bandula Warnapura (vc),1 March 1953,Right-handed,Right-arm medium,BCAC
Sri Lanka,1979,Duleep Mendis,25 August 1952,Right-handed,,SSC
Sri Lanka,1979,Ranjan Gunatilleke,15 August 1951,Right-handed,Right-arm medium,
Sri Lanka,1979,Ranjan Madugalle,22 April 1959,Right-handed,Right-arm offbreak,FFCC
Sri Lanka,1979,Rohan Jayasekara,7 December 1957,Right-handed,Wicket-keeper,
Sri Lanka,1979,Roy Dias,18 October 1952,Right-handed,Right-arm offbreak,CCC
Sri Lanka,1979,Somachandra de Silva,11 June 1942,Right-handed,Right-arm legbreak,BCAC
Sri Lanka,1979,Stanley de Silva,17 November 1956,Right-handed,Right-arm fast-medium,
Sri Lanka,1979,Sudath Pasqual,16 October 1961,Left-handed,Right-arm medium,RCC
Sri Lanka,1979,Sunil Jayasinghe (wk),15 July 1955,Right-handed,,BCAC
Sri Lanka,1979,Sunil Wettimuny,2 February 1949,Right-handed,Wicket-keeper,SSC
Sri Lanka,1979,Tony Opatha,5 August 1947,Right-handed,Right-arm medium,CCC
West Indies,1979,Alvin Kallicharran,21 March 1949,Left-handed,Right-arm offbreak,Guyana
West Indies,1979,Andy Roberts,29 January 1951,Right-handed,Right-arm fast,Leeward Islands
West Indies,1979,Clive Lloyd (c),31 August 1944,Left-handed,Right-arm medium,Guyana
West Indies,1979,Colin Croft,15 March 1953,Right-handed,Right-arm fast,Guyana
West Indies,1979,Collis King,11 June 1951,Right-handed,Right-arm medium,Barbados
West Indies,1979,Deryck Murray (wk),20 May 1943,Right-handed,Legbreak,Trinidad and Tobago
West Indies,1979,Desmond Haynes,15 February 1956,Right-handed,Right-arm legbreak/medium pace,Barbados
West Indies,1979,Faoud Bacchus,31 January 1954,Right-handed,Right-arm medium,Guyana
West Indies,1979,Gordon Greenidge,1 May 1951,Right-handed,Right-arm medium/offbreak,Barbados
West Indies,1979,Joel Garner,16 December 1952,Right-handed,Right-arm fast,Barbados
West Indies,1979,Larry Gomes,13 July 1953,Left-handed,Right-arm offbreak,Trinidad and Tobago
West Indies,1979,Malcolm Marshall,18 April 1958,Right-handed,Right-arm fast,Barbados
West Indies,1979,Michael Holding,16 February 1954,Right-handed,Right-arm fast,Jamaica
West Indies,1979,Viv Richards,7 March 1952,Right-handed,Right-arm medium/offbreak,Leeward Islands
Australia,1983,Allan Border,27 July 1955,Left-handed,Left-arm orthodox spin,Queensland
Australia,1983,David Hookes,3 May 1955,Left-handed,,South Australia
Australia,1983,Dennis Lillee,18 July 1949,Right-handed,Right-arm fast,Western Australia
Australia,1983,Geoff Lawson,7 December 1957,Right-handed,Right-arm fast,New South Wales
Australia,1983,Graeme Wood,6 November 1956,Left-handed,Right-arm medium,Western Australia
Australia,1983,Graham Yallop,7 October 1952,Left-handed,Left-arm medium,Victoria
Australia,1983,Jeff Thomson,16 August 1950,Right-handed,Right-arm fast,Queensland
Australia,1983,Ken MacLeay,2 April 1959,Right-handed,Right-arm medium,Western Australia
Australia,1983,Kepler Wessels,14 September 1957,Left-handed,Right-arm off-break,Queensland
Australia,1983,Kim Hughes (c),26 January 1954,Right-handed,Right-arm medium,Western Australia
Australia,1983,Rod Marsh (wk),4 November 1947,Left-handed,Wicket-keeper,Western Australia
Australia,1983,Rodney Hogg,5 March 1951,Right-handed,Right-arm fast,South Australia
Australia,1983,Tom Hogan,23 September 1956,Right-handed,Slow left-arm orthodox,Western Australia
Australia,1983,Trevor Chappell,12 October 1952,Right-handed,Right-arm medium,New South Wales
England,1983,Allan Lamb,20 June 1954,Right-handed,Right-arm medium,Northamptonshire
England,1983,Bob Willis (c),30 May 1949,Right-handed,Right-arm fast,Warwickshire
England,1983,Chris Tavare,27 October 1954,Right-handed,Right-arm off-break,Kent
England,1983,David Gower,1 April 1957,Left-handed,Right-arm off-break,Leicestershire
England,1983,Derek Randall,24 February 1951,Right-handed,Right-arm medium,Nottinghamshire
England,1983,Graeme Fowler,20 April 1957,Left-handed,Right-arm medium,Lancashire
England,1983,Graham Dilley,18 May 1959,Left-handed,Right-arm fast,Kent
England,1983,Ian Botham,24 November 1955,Right-handed,Right-arm fast-medium,Somerset
England,1983,Ian Gould (wk),19 August 1957,Left-handed,Wicket-keeper,Sussex
England,1983,Mike Gatting,6 June 1957,Right-handed,Right-arm medium,Middlesex
England,1983,Norman Cowans,17 April 1961,Right-handed,Right-arm fast,Middlesex
England,1983,Paul Allott,14 September 1956,Right-handed,Right-arm fast-medium,Lancashire
England,1983,Trevor Jesty,2 June 1948,Right-handed,Right-arm medium,Hampshire
England,1983,Vic Marks,25 June 1955,Right-handed,Right-arm off-break,Somerset
India,1983,Balwinder Sandhu,3 August 1956,Right-handed,Right-arm medium-fast,Mumbai
India,1983,Dilip Vengsarkar,6 April 1956,Right-handed,Right-arm medium,Mumbai
India,1983,Kapil Dev (c),6 January 1959,Right-handed,Right-arm fast-medium,Haryana
India,1983,Kirti Azad,2 January 1959,Right-handed,Right-arm off-spinner,Delhi
India,1983,Krishnamachari Srikkanth,21 December 1959,Right-handed,Right-arm medium/off-break,Tamil Nadu
India,1983,Madan Lal,20 March 1951,Right-handed,Right-arm medium,Delhi
India,1983,Mohinder Amarnath (vc),24 September 1950,Right-handed,Right-arm medium,Delhi
India,1983,Ravi Shastri,27 May 1962,Right-handed,Slow left-arm orthodox,Mumbai
India,1983,Roger Binny,19 July 1955,Right-handed,Right-arm fast-medium,Karnataka
India,1983,Sandeep Patil,18 August 1956,Right-handed,Right-arm medium,Mumbai
India,1983,Sunil Gavaskar,10 July 1949,Right-handed,Right-arm medium/off-break,Mumbai
India,1983,Sunil Valson,2 October 1958,Right-handed,Left-arm medium,Delhi
India,1983,Syed Kirmani (wk),29 December 1949,Right-handed,Wicket-keeper,Karnataka
India,1983,Yashpal Sharma,11 August 1954,Right-handed,Right-arm medium,Punjab
New Zealand,1983,Bruce Edgar,23 November 1956,Left-handed,Wicket-keeper,Wellington
New Zealand,1983,Ewen Chatfield,3 July 1950,Right-handed,Right-arm medium-fast,Wellington
New Zealand,1983,Geoff Howarth (c),29 March 1951,Right-handed,Right-arm offbreak,Auckland
New Zealand,1983,Glenn Turner,26 May 1947,Right-handed,Right-arm offbreak,Otago
New Zealand,1983,Ian Smith (wk),28 February 1957,Right-handed,Wicket-keeper,Central Districts
New Zealand,1983,Jeff Crowe,14 September 1958,Right-handed,Right-arm medium pace,Auckland
New Zealand,1983,Jeremy Coney,21 June 1952,Right-handed,Right-arm medium,Wellington
New Zealand,1983,John Bracewell,15 April 1958,Right-handed,Right-arm off-break,Auckland
New Zealand,1983,John Wright,5 July 1954,Left-handed,Right-arm medium,Northern Districts
New Zealand,1983,Lance Cairns,10 October 1949,Right-handed,Right-arm medium-fast,Otago
New Zealand,1983,Martin Crowe,22 September 1962,Right-handed,Right-arm medium,Central Districts
New Zealand,1983,Martin Snedden,23 November 1958,Left-handed,Right-arm medium-fast,Auckland
New Zealand,1983,Richard Hadlee,3 July 1951,Left-handed,Right-arm fast,Canterbury
New Zealand,1983,Warren Lees (wk),19 March 1952,Right-handed,Wicket-keeper,Otago
Pakistan,1983,Abdul Qadir,15 September 1955,Right-handed,Right-arm leg spin,Habib Bank
Pakistan,1983,Ijaz Faqih,24 March 1956,Right-handed,Right-arm offbreak,MCB
Pakistan,1983,Imran Khan (c),25 November 1952,Right-handed,Right-arm fast,PIA
Pakistan,1983,Javed Miandad,12 June 1957,Right-handed,Right-arm leg-break,Habib Bank
Pakistan,1983,Mansoor Akhtar,6 September 1962,Right-handed,Right-arm offspin,United Bank
Pakistan,1983,Mohsin Khan,15 March 1955,Right-handed,Right-arm medium pace,Habib Bank
Pakistan,1983,Mudassar Nazar,6 April 1956,Right-handed,Right-arm medium,Lahore
Pakistan,1983,Rashid Khan,15 December 1959,Right-handed,Right-arm fast-medium,PIA
Pakistan,1983,Sarfraz Nawaz,1 December 1948,Right-handed,Right-arm fast-medium,Lahore
Pakistan,1983,Shahid Mahboob,25 August 1962,Right-handed,Right-arm fast-medium,Karachi
Pakistan,1983,Tahir Naqqash,6 June 1959,Right-handed,Right-arm fast-medium,Lahore
Pakistan,1983,Wasim Bari (wk),23 March 1948,Right-handed,Wicket-keeper,Karachi
Pakistan,1983,Wasim Raja,3 July 1952,Left-handed,Right-arm leg-break,Lahore
Pakistan,1983,Zaheer Abbas,24 July 1947,Right-handed,Right-arm offbreak,Karachi
Sri Lanka,1983,Arjuna Ranatunga,1 December 1963,Left-handed,Right-arm medium,SCC
Sri Lanka,1983,Ashantha de Mel,9 May 1959,Right-handed,Right-arm medium-fast,
Sri Lanka,1983,Athula Samarasekera,5 August 1961,Right-handed,Right-arm medium,CCC
Sri Lanka,1983,Brendon Kuruppu,5 January 1962,Right-handed,Wicket-keeper,BRC
Sri Lanka,1983,Duleep Mendis (c),25 August 1952,Right-handed,,SSC
Sri Lanka,1983,Granville de Silva,12 March 1955,Right-handed,Right-arm medium,
Sri Lanka,1983,Guy de Alwis (wk),15 February 1959,Right-handed,Wicket-keeper,SSC
Sri Lanka,1983,Ranjan Madugalle,22 April 1959,Right-handed,Right-arm off-break,NCC
Sri Lanka,1983,Roy Dias,18 October 1952,Right-handed,Right-arm off-break,CCC
Sri Lanka,1983,Rumesh Ratnayake,2 January 1964,Right-handed,Right-arm fast-medium,NCC
Sri Lanka,1983,Sidath Wettimuny,12 August 1956,Right-handed,Right-arm medium,
Sri Lanka,1983,Somachandra de Silva,11 June 1942,Right-handed,Right-arm leg-break,BCAC
Sri Lanka,1983,Susil Fernando,19 December 1955,Right-handed,,SLAFSC
Sri Lanka,1983,Vinothen John,27 May 1960,Right-handed,Right-arm medium-fast,SCC
West Indies,1983,Andy Roberts,29 January 1951,Right-handed,Right-arm fast,Leeward Islands
West Indies,1983,Clive Lloyd (c),31 August 1944,Left-handed,Right-arm medium,Guyana
West Indies,1983,Desmond Haynes,15 February 1956,Right-handed,Right-arm leg-break/medium pace,Barbados
West Indies,1983,Faoud Bacchus,31 January 1954,Right-handed,Right-arm medium,Guyana
West Indies,1983,Gordon Greenidge,1 May 1951,Right-handed,Right-arm medium/offbreak,Barbados
West Indies,1983,Gus Logie,28 September 1960,Right-handed,Right-arm off-break,Trinidad and Tobago
