Tournament,Year,Team,Player,DOB,Batting_Style,Bowling_Style,First_Class_Team
ODI World Cup,1979,India,Surinder Khanna (wk),3 June 1956,Right hand,Wicket-keeper,Delhi
ODI World Cup,1979,India,Yajurvindra Singh,1 August 1952,Right hand,Right arm medium,Maharashtra
ODI World Cup,1979,India,Yashpal Sharma,11 August 1954,Right hand,Right arm medium,Punjab
ODI World Cup,1979,New Zealand,Brian McKechnie,6 November 1953,Right hand,Right arm fast-medium,Otago
ODI World Cup,1979,New Zealand,Bruce Edgar,23 November 1956,Left hand,Wicket-keeper,Wellington
ODI World Cup,1979,New Zealand,Ewen Chatfield,3 July 1950,Right hand,Right arm medium-fast,Wellington
ODI World Cup,1979,New Zealand,Gary Troup,3 October 1952,Right hand,Left arm fast-medium,Auckland
ODI World Cup,1979,New Zealand,Geoff Howarth,29 March 1951,Right hand,Right arm offbreak,Auckland
ODI World Cup,1979,New Zealand,Glenn Turner,26 May 1947,Right hand,Right arm offbreak,Otago
ODI World Cup,1979,New Zealand,Jeremy Coney,21 June 1952,Right hand,Right arm medium,Wellington
ODI World Cup,1979,New Zealand,John Morrison,27 August 1947,Right hand,Left arm orthodox spin,Wellington
ODI World Cup,1979,New Zealand,John Wright,5 July 1954,Left hand,Right arm medium,Northern Districts
ODI World Cup,1979,New Zealand,Lance Cairns,10 October 1949,Right hand,Right arm medium-fast,Otago
ODI World Cup,1979,New Zealand,Mark Burgess (c),17 July 1944,Right hand,Right arm off-break,Auckland
ODI World Cup,1979,New Zealand,Richard Hadlee,3 July 1951,Left hand,Right arm fast,Canterbury
ODI World Cup,1979,New Zealand,Warren Lees (wk),19 March 1952,Right hand,Wicket-keeper,Otago
ODI World Cup,1979,New Zealand,Warren Stott,8 December 1946,Right hand,Right arm medium,Auckland
ODI World Cup,1979,Pakistan,Asif Iqbal (c),6 June 1943,Right hand,Right arm medium,Karachi
ODI World Cup,1979,Pakistan,Haroon Rashid,25 March 1953,Right hand,Right arm medium,Karachi
ODI World Cup,1979,Pakistan,Hasan Jamil,25 July 1952,Left hand,Left arm medium,PIA
ODI World Cup,1979,Pakistan,Imran Khan,25 November 1952,Right hand,Right arm fast,PIA
ODI World Cup,1979,Pakistan,Iqbal Qasim,6 August 1953,Left hand,Left arm orthodox spin,Karachi
ODI World Cup,1979,Pakistan,Javed Miandad,12 June 1957,Right hand,Right arm legbreak,Habib Bank
ODI World Cup,1979,Pakistan,Majid Khan,28 September 1946,Right hand,Right arm medium/offbreak,Rawalpindi
ODI World Cup,1979,Pakistan,Mudassar Nazar,6 April 1956,Right hand,Right arm medium,Lahore
ODI World Cup,1979,Pakistan,Sadiq Mohammad,3 May 1945,Left hand,Right arm legbreak,Karachi
ODI World Cup,1979,Pakistan,Sarfraz Nawaz,1 December 1948,Right hand,Right arm fast-medium,Lahore
ODI World Cup,1979,Pakistan,Sikander Bakht,25 August 1957,Right hand,Right arm medium-fast,Karachi
ODI World Cup,1979,Pakistan,Wasim Bari (wk),23 March 1948,Right hand,Wicket-keeper,Karachi
ODI World Cup,1979,Pakistan,Wasim Raja,3 July 1952,Left hand,Right arm legbreak,Lahore
ODI World Cup,1979,Pakistan,Zaheer Abbas,24 July 1947,Right hand,Right arm offbreak,Karachi
ODI World Cup,1979,Sri Lanka,Ajit de Silva,12 December 1952,Left hand,Left arm orthodox spin,BCAC
ODI World Cup,1979,Sri Lanka,Anura Tennekoon (c),29 October 1946,Right hand,Left arm orthodox spin,SSC
ODI World Cup,1979,Sri Lanka,Bandula Warnapura (vc),1 March 1953,Right hand,Right arm medium,BCAC
ODI World Cup,1979,Sri Lanka,Duleep Mendis,25 August 1952,Right hand,-,SSC
ODI World Cup,1979,Sri Lanka,Ranjan Gunatilleke,15 August 1951,Right hand,Right-arm medium,-
ODI World Cup,1979,Sri Lanka,Ranjan Madugalle,22 April 1959,Right hand,Right-arm offbreak,FFCC
ODI World Cup,1979,Sri Lanka,Rohan Jayasekara,7 December 1957,Right hand,Wicket-keeper,-
ODI World Cup,1979,Sri Lanka,Roy Dias,18 October 1952,Right hand,Right-arm offbreak,CCC
ODI World Cup,1979,Sri Lanka,Somachandra de Silva,11 June 1942,Right hand,Right arm legbreak,BCAC
ODI World Cup,1979,Sri Lanka,Stanley de Silva,17 November 1956,Right hand,Right arm fast-medium,-
ODI World Cup,1979,Sri Lanka,Sudath Pasqual,16 October 1961,Left-hand,Right-arm medium,RCC
ODI World Cup,1979,Sri Lanka,Sunil Jayasinghe (wk),15 July 1955,Right hand,,BCAC
ODI World Cup,1979,Sri Lanka,Sunil Wettimuny,2 February 1949,Right hand,Wicket-keeper,SSC
ODI World Cup,1979,Sri Lanka,Tony Opatha,5 August 1947,Right hand,Right arm medium,CCC
ODI World Cup,1979,West Indies,Alvin Kallicharran,21 March 1949,Left-hand,Right-arm offbreak,Guyana
ODI World Cup,1979,West Indies,Andy Roberts,29 January 1951,Right-hand,Right-arm fast,Leeward Islands
ODI World Cup,1979,West Indies,Clive Lloyd (c),31 August 1944,Left hand,Right-arm medium,Guyana
ODI World Cup,1979,West Indies,Colin Croft,15 March 1953,Right-hand,Right-arm fast,Guyana
ODI World Cup,1979,West Indies,Collis King,11 June 1951,Right-hand,Right-arm medium,Barbados
ODI World Cup,1979,West Indies,Deryck Murray (wk),20 May 1943,Right-hand,Legbreak,Trinidad and Tobago
ODI World Cup,1979,West Indies,Desmond Haynes,15 February 1956,Right-hand,Right-arm legbreak/medium pace,Barbados
ODI World Cup,1979,West Indies,Faoud Bacchus,31 January 1954,Right-hand,Right-arm medium,Guyana
ODI World Cup,1979,West Indies,Gordon Greenidge,1 May 1951,Right-hand,Right-arm medium/offbreak,Barbados
ODI World Cup,1979,West Indies,Joel Garner,16 December 1952,Right hand,Right-arm fast,Barbados
ODI World Cup,1979,West Indies,Larry Gomes,13 July 1953,Left-hand,Right-arm offbreak,Trinidad and Tobago
ODI World Cup,1979,West Indies,Malcolm Marshall,18 April 1958,Right-hand,Right-arm fast,Barbados
ODI World Cup,1979,West Indies,Michael Holding,16 February 1954,Right-hand,Right-arm fast,Jamaica
ODI World Cup,1979,West Indies,Viv Richards,7 March 1952,Right-hand,Right-arm medium/offbreak,Leeward Islands
ODI World Cup,1983,Australia,Allan Border,27 July 1955,Left-handed,Left-arm orthodox spin,Queensland
ODI World Cup,1983,Australia,David Hookes,3 May 1955,Left-handed,-,South Australia
ODI World Cup,1983,Australia,Dennis Lillee,18 July 1949,Right-handed,Right-arm fast,Western Australia
ODI World Cup,1983,Australia,Geoff Lawson,7 December 1957,Right-handed,Right-arm fast,New South Wales
ODI World Cup,1983,Australia,Graeme Wood,6 November 1956,Left-handed,Right-arm medium,Western Australia
ODI World Cup,1983,Australia,Graham Yallop,7 October 1952,Left-handed,Left-arm medium,Victoria
ODI World Cup,1983,Australia,Jeff Thomson,16 August 1950,Right-handed,Right-arm fast,Queensland
ODI World Cup,1983,Australia,Ken MacLeay,2 April 1959,Right-handed,Right-arm medium,Western Australia
ODI World Cup,1983,Australia,Kepler Wessels,14 September 1957,Left-handed,Right-arm off-break,Queensland
ODI World Cup,1983,Australia,Kim Hughes (c),26 January 1954,Right-handed,Right-arm medium,Western Australia
ODI World Cup,1983,Australia,Rod Marsh (wk),4 November 1947,Left-handed,Wicket-keeper,Western Australia
ODI World Cup,1983,Australia,Rodney Hogg,5 March 1951,Right-handed,Right-arm fast,South Australia
ODI World Cup,1983,Australia,Tom Hogan,23 September 1956,Right-handed,Slow left-arm orthodox,Western Australia
ODI World Cup,1983,Australia,Trevor Chappell,12 October 1952,Right-handed,Right-arm medium,New South Wales
ODI World Cup,1983,England,Allan Lamb,20 June 1954,Right-handed,Right-arm medium,Northamptonshire
ODI World Cup,1983,England,Bob Willis (c),30 May 1949,Right-handed,Right-arm fast,Warwickshire
ODI World Cup,1983,England,Chris Tavare,27 October 1954,Right-handed,Right-arm off-break,Kent
ODI World Cup,1983,England,David Gower,1 April 1957,Left-handed,Right-arm off-break,Leicestershire
ODI World Cup,1983,England,Derek Randall,24 February 1951,Right-handed,Right-arm medium,Nottinghamshire
ODI World Cup,1983,England,Graeme Fowler,20 April 1957,Left-handed,Right-arm medium,Lancashire
ODI World Cup,1983,England,Graham Dilley,18 May 1959,Left-handed,Right-arm fast,Kent
ODI World Cup,1983,England,Ian Botham,24 November 1955,Right-handed,Right-arm fast-medium,Somerset
ODI World Cup,1983,England,Ian Gould (wk),19 August 1957,Left-handed,Wicket-keeper,Sussex
ODI World Cup,1983,England,Mike Gatting,6 June 1957,Right-handed,Right-arm medium,Middlesex
ODI World Cup,1983,England,Norman Cowans,17 April 1961,Right-handed,Right-arm fast,Middlesex
ODI World Cup,1983,England,Paul Allott,14 September 1956,Right-handed,Right-arm fast-medium,Lancashire
ODI World Cup,1983,England,Trevor Jesty,2 June 1948,Right-handed,Right-arm medium,Hampshire
ODI World Cup,1983,England,Vic Marks,25 June 1955,Right-handed,Right-arm off-break,Somerset
ODI World Cup,1983,India,Balwinder Sandhu,3 August 1956,Right-handed,Right-arm medium-fast,Mumbai
ODI World Cup,1983,India,Dilip Vengsarkar,6 April 1956,Right-handed,Right-arm medium,Mumbai
ODI World Cup,1983,India,Kapil Dev (c),6 January 1959,Right-handed,Right-arm fast-medium,Haryana
ODI World Cup,1983,India,Kirti Azad,2 January 1959,Right-handed,Right-arm off-spinner,Delhi
ODI World Cup,1983,India,Krishnamachari Srikkanth,21 December 1959,Right-handed,Right-arm medium/off-break,Tamil Nadu
ODI World Cup,1983,India,Madan Lal,20 March 1951,Right-handed,Right-arm medium,Delhi
ODI World Cup,1983,India,Mohinder Amarnath (vc),24 September 1950,Right-handed,Right-arm medium,Delhi
ODI World Cup,1983,India,Ravi Shastri,27 May 1962,Right-handed,Slow left-arm orthodox,Mumbai
ODI World Cup,1983,India,Roger Binny,19 July 1955,Right-handed,Right-arm fast-medium,Karnataka
ODI World Cup,1983,India,Sandeep Patil,18 August 1956,Right-handed,Right-arm medium,Mumbai
ODI World Cup,1983,India,Sunil Gavaskar,10 July 1949,Right-handed,Right-arm medium/off-break,Mumbai
ODI World Cup,1983,India,Sunil Valson,2 October 1958,Right-handed,Left-arm medium,Delhi
ODI World Cup,1983,India,Syed Kirmani (wk),29 December 1949,Right-handed,Wicket-keeper,Karnataka
ODI World Cup,1983,India,Yashpal Sharma,11 August 1954,Right-handed,Right-arm medium,Punjab
ODI World Cup,1983,New Zealand,Bruce Edgar,23 November 1956,Left-handed,Wicket-keeper,Wellington
ODI World Cup,1983,New Zealand,Ewen Chatfield,3 July 1950,Right-handed,Right-arm medium-fast,Wellington
ODI World Cup,1983,New Zealand,Geoff Howarth (c),29 March 1951,Right-handed,Right-arm offbreak,Auckland
ODI World Cup,1983,New Zealand,Glenn Turner,26 May 1947,Right-handed,Right-arm offbreak,Otago
