Tournament,Player_Name,Team,Nationality,DOB,Right_Arm_Bowl,Right_Handed_Bat,Bowling_Style,Matched
Champions Trophy,Marcus Stoinis,Australia,Australian,1989-08-16,True,True,MEDIUM_SEAM,True
Champions Trophy,Pat Cummins,Australia,Australian,1993-05-08,True,True,FAST_SEAM,True
Champions Trophy,Josh Hazlewood,Australia,Australian,1991-01-08,True,False,FAST_SEAM,True
Champions Trophy,James Pattinson,Australia,Australian,1990-05-03,True,False,FAST_SEAM,True
Champions Trophy,Adam Zampa,Australia,Australian,1992-03-31,True,True,LEG_SPIN,True
Champions Trophy,Alex Carey,Australia,Australian,1991-08-27,False,False,,True
Champions Trophy,Jake Fraser-McGurk,Australia,,,,,,False
Champions Trophy,Josh Inglish,Australia,,,,,,False
Champions Trophy,Marnus Labuschagne,Australia,Australian,1994-06-22,True,True,LEG_SPIN,True
Champions Trophy,Sean Abbott,Australia,Australian,1992-02-29,True,True,FAST_SEAM,True
Champions Trophy,Cooper Connolly,Australia,,,,,,False
Champions Trophy,Aaron Hardie,Australia,,,,,,False
Champions Trophy,Ben Dwarshuis,Australia,,,,,,False
Champions Trophy,Nathan Ellis,Australia,,,,,,False
Champions Trophy,Spencer Johnson,Australia,,,,,,False
Champions Trophy,Tanveer Sangha,Australia,,,,,,False
Champions Trophy,Akram Khan,Bangladesh,Pakistani,1968-11-01,False,True,,True
Champions Trophy,Al Sahariar,Bangladesh,Bangladeshi,1978-04-23,False,True,,True
Champions Trophy,Aminul Islam,Bangladesh,Pakistani,1968-02-02,False,True,,True
Champions Trophy,Habibul Bashar,Bangladesh,Bangladeshi,1972-08-17,False,True,,True
Champions Trophy,Javed Omer,Bangladesh,Bangladeshi,1976-11-25,False,True,,True
Champions Trophy,Khaled Mashud,Bangladesh,Bangladeshi,1976-02-08,False,True,,True
Champions Trophy,Naimur Rahman,Bangladesh,Bangladeshi,1974-09-19,False,True,,True
Champions Trophy,Mohammad Rafique,Bangladesh,Pakistani,1970-09-05,False,True,,True
Champions Trophy,Enamul Haque,Bangladesh,Pakistani,1966-02-27,False,True,,True
Champions Trophy,Hasibul Hossain,Bangladesh,Bangladeshi,1977-06-03,False,True,,True
Champions Trophy,Manjurul Islam,Bangladesh,Bangladeshi,1979-11-07,False,True,,True
Champions Trophy,Mushfiqur Rahman,Bangladesh,Bangladeshi,1987-05-09,True,True,,True
Champions Trophy,Ranjan Das,Bangladesh,,,,,,False
Champions Trophy,Shahriar Hossain,Bangladesh,Bangladeshi,1976-06-01,False,True,,True
Champions Trophy,Mazharul Haque,Bangladesh,,,,,,False
Champions Trophy,Tushar Imran,Bangladesh,Bangladeshi,1983-12-10,False,True,,True
Champions Trophy,Alok Kapali,Bangladesh,Bangladeshi,1984-01-01,False,True,,True
Champions Trophy,Khaled Mahmud,Bangladesh,Bangladeshi,1971-07-26,False,True,,True
Champions Trophy,Tapash Baisya,Bangladesh,Bangladeshi,1982-12-25,False,True,,True
Champions Trophy,Mohammad Ashraful,Bangladesh,Bangladeshi,1984-07-07,False,True,,True
Champions Trophy,Fahim Muntasir,Bangladesh,,,,,,False
Champions Trophy,Talha Jubair,Bangladesh,Bangladeshi,1985-12-10,False,True,,True
Champions Trophy,Nafees Iqbal,Bangladesh,,,,,,False
Champions Trophy,Rajin Saleh,Bangladesh,,,,,,False
Champions Trophy,Aftab Ahmed,Bangladesh,Bangladeshi,1985-11-10,False,True,,True
Champions Trophy,Manzarul Islam,Bangladesh,,,,,,False
Champions Trophy,Nazmul Hossain,Bangladesh,,,,,,False
Champions Trophy,Shahriar Nafees,Bangladesh,Bangladeshi,1986-01-25,False,True,,True
Champions Trophy,Shakib Al Hasan,Bangladesh,Bangladeshi,1987-03-24,False,False,ORTHODOX,True
Champions Trophy,Mehrab Hossain jnr,Bangladesh,,,,,,False
Champions Trophy,Farhad Reza,Bangladesh,,,,,,False
Champions Trophy,Mashrafe Mortaza,Bangladesh,Bangladeshi,1983-10-05,True,True,FAST_SEAM,True
Champions Trophy,Abdur Razzak,Bangladesh,Bangladeshi,1982-06-15,False,False,ORTHODOX,True
Champions Trophy,Syed Rasel,Bangladesh,Bangladeshi,1984-07-03,False,True,,True
Champions Trophy,Imrul Kayes,Bangladesh,Bangladeshi,1987-02-02,False,False,ORTHODOX,True
Champions Trophy,Mosaddek Hossain,Bangladesh,Bangladeshi,1995-12-10,True,True,OFF_SPIN,True
Champions Trophy,Mushfiqur Rahim,Bangladesh,Bangladeshi,1987-05-09,True,True,,True
Champions Trophy,Sabbir Rahman,Bangladesh,Bangladeshi,1991-11-22,True,True,LEG_SPIN,True
Champions Trophy,Tamim Iqbal,Bangladesh,Bangladeshi,1989-03-20,False,False,,True
Champions Trophy,Mahmudullah,Bangladesh,BD,1986-02-04,True,True,,True
Champions Trophy,Mehidy Hasan Miraz,Bangladesh,,,,,,False
Champions Trophy,Soumya Sarkar,Bangladesh,Bangladeshi,1993-02-25,True,False,MEDIUM_SEAM,True
Champions Trophy,Mustafizur Rahman,Bangladesh,Bangladeshi,1995-09-06,False,False,FAST_SEAM,True
Champions Trophy,Rubel Hossain,Bangladesh,Bangladeshi,1990-01-01,True,True,FAST_SEAM,True
Champions Trophy,Shafiul Islam,Bangladesh,Bangladeshi,1989-10-06,True,True,FAST_SEAM,True
Champions Trophy,Sunzamul Islam,Bangladesh,Bangladeshi,1990-01-17,False,False,ORTHODOX,True
Champions Trophy,Taskin Ahmed,Bangladesh,BD,1995-04-03,True,False,FAST_SEAM,True
Champions Trophy,Najmul Hossain Shanto,Bangladesh,Bangladeshi,1998-08-25,True,False,OFF_SPIN,True
Champions Trophy,Jaker Ali,Bangladesh,,,,,,False
Champions Trophy,Parvez Hossain Emon,Bangladesh,,,,,,False
Champions Trophy,Tanzid Hasan,Bangladesh,,,,,,False
Champions Trophy,Towhid Hridoy,Bangladesh,,,,,,False
Champions Trophy,Nasum Ahmed,Bangladesh,,,,,,False
Champions Trophy,Rishad Hossain,Bangladesh,,,,,,False
Champions Trophy,Tanzim Hasan Sakib,Bangladesh,,,,,,False
Champions Trophy,Nahid Rana,Bangladesh,,,,,,False
Champions Trophy,Nick Knight,England,English,1969-11-28,False,True,,True
Champions Trophy,Ali Brown,England,,,,,,False
Champions Trophy,Mark Ealham,England,English,1969-08-27,False,True,,True
Champions Trophy,Graeme Hick,England,Zimbabwean,1966-05-23,False,True,,True
Champions Trophy,Neil Fairbrother,England,English,1963-09-09,False,True,,True
Champions Trophy,Graham Lloyd,England,,,,,,False
Champions Trophy,Adam Hollioake,England,Australian,1971-09-05,False,True,,True
Champions Trophy,Jack Russell,England,English,1963-08-15,False,True,,True
Champions Trophy,Ashley Giles,England,English,1973-03-19,False,True,,True
Champions Trophy,Peter Martin,England,English,1968-11-15,False,True,,True
Champions Trophy,Ian Austin,England,English,1966-05-30,False,True,,True
Champions Trophy,Nasser Hussain,England,Indian,1968-03-28,True,True,LEG_SPIN,True
Champions Trophy,Vikram Solanki,England,,,,,,False
Champions Trophy,Alec Stewart,England,English,1963-04-08,True,True,MEDIUM_SEAM,True
Champions Trophy,Graham Thorpe,England,English,1969-08-01,True,False,MEDIUM_SEAM,True
Champions Trophy,Marcus Trescothick,England,English,1975-12-25,True,False,MEDIUM_SEAM,True
Champions Trophy,Andrew Flintoff,England,English,1977-12-06,True,True,FAST_SEAM,True
Champions Trophy,Craig White,England,English,1969-12-16,False,True,,True
Champions Trophy,Andy Caddick,England,English,1968-11-21,True,True,FAST_SEAM,True
Champions Trophy,Darren Gough,England,English,1970-09-18,True,True,FAST_SEAM,True
Champions Trophy,Matthew Hoggard,England,,,,,,False
Champions Trophy,Mark Alleyne,England,,,,,,False
Champions Trophy,Paul Grayson,England,,,,,,False
Champions Trophy,Ronnie Irani,England,English,1971-10-26,False,True,,True
Champions Trophy,Ian Blackwell,England,English,1978-06-10,False,True,,True
Champions Trophy,Owais Shah,England,,,,,,False
Champions Trophy,Dominic Cork,England,English,1971-08-07,False,True,,True
Champions Trophy,Jeremy Snape,England,,,,,,False
Champions Trophy,Michael Vaughan,England,English,1974-10-29,True,True,OFF_SPIN,True
Champions Trophy,Andrew Strauss,England,English,1977-03-02,False,False,MEDIUM_SEAM,True
Champions Trophy,Paul Collingwood,England,English,1976-05-26,True,True,MEDIUM_SEAM,True
Champions Trophy,Geraint Jones,England,,,,,,False
Champions Trophy,Alex Wharf,England,,,,,,False
Champions Trophy,Steve Harmison,England,,,,,,False
Champions Trophy,Ian Bell,England,English,1982-04-11,True,True,MEDIUM_SEAM,True
Champions Trophy,Michael Yardy,England,English,1980-11-27,False,True,,True
Champions Trophy,Kevin Pietersen,England,English,1980-06-27,True,True,OFF_SPIN,True
Champions Trophy,Jamie Dalrymple,England,Kenyan,1981-01-21,False,True,,True
Champions Trophy,Jon Lewis,England,,,,,,False
Champions Trophy,Chris Read,England,,,,,,False
Champions Trophy,Sajid Mahmood,England,English,1981-12-21,False,True,,True
Champions Trophy,James Anderson,England,English,1982-07-30,True,False,FAST_SEAM,True
Champions Trophy,Steven Davies,England,,,,,,False
Champions Trophy,Joe Denly,England,English,1986-03-16,True,False,LEG_SPIN,True
Champions Trophy,Eoin Morgan,England,ENG,1986-09-10,True,False,MEDIUM_SEAM,True
Champions Trophy,Luke Wright,England,English,1985-03-07,False,False,,True
Champions Trophy,Ravi Bopara,England,English,1985-05-04,False,True,,True
Champions Trophy,Tim Bresnan,England,English,1985-02-28,False,True,,True
Champions Trophy,Stuart Broad,England,English,1986-06-24,True,False,FAST_SEAM,True
Champions Trophy,Graham Onions,England,,,,,,False
Champions Trophy,Adil Rashid,England,English,1988-02-17,True,True,LEG_SPIN,True
Champions Trophy,Ryan Sidebottom,England,,,,,,False
Champions Trophy,Graeme Swann,England,English,1979-03-24,True,True,OFF_SPIN,True
Champions Trophy,Alastair Cook,England,English,1984-12-25,False,True,MEDIUM_SEAM,True
Champions Trophy,Jonny Bairstow,England,English,1989-09-26,True,True,MEDIUM_SEAM,True
Champions Trophy,Jos Buttler,England,English,1990-09-08,True,True,,True
Champions Trophy,Joe Root,England,English,1990-12-30,True,True,OFF_SPIN,True
Champions Trophy,Jonathan Trott,England,English,1981-04-22,False,True,,True
Champions Trophy,James Tredwell,England,English,1982-02-27,False,False,,True
Champions Trophy,Chris Woakes,England,English,1989-03-02,True,True,FAST_SEAM,True
Champions Trophy,Steven Finn,England,English,1989-04-04,False,True,,True
Champions Trophy,Sam Billings,England,English,1991-06-15,True,True,,True
Champions Trophy,Alex Hales,England,English,1989-01-03,True,True,MEDIUM_SEAM,True
Champions Trophy,Jason Roy,England,English,1990-07-21,True,True,,True
Champions Trophy,Moeen Ali,England,English,1987-06-18,True,False,OFF_SPIN,True
Champions Trophy,Ben Stokes,England,English,1991-06-04,True,False,FAST_SEAM,True
Champions Trophy,David Willey,England,English,1990-02-28,False,False,FAST_SEAM,True
Champions Trophy,Jake Ball,England,English,1991-03-14,True,True,FAST_SEAM,True
Champions Trophy,Liam Plunkett,England,English,1985-04-06,True,True,FAST_SEAM,True
Champions Trophy,Mark Wood,England,English,1990-01-11,True,True,FAST_SEAM,True
Champions Trophy,Tom Banton,England,English,1998-11-11,True,True,,True
Champions Trophy,Harry Brook,England,,,,,,False
Champions Trophy,Ben Duckett,England,English,1994-10-17,False,False,,True
Champions Trophy,Phil Salt,England,,,True,True,,True
Champions Trophy,Jamie Smith,England,,,,,,False
Champions Trophy,Liam Livingstone,England,English,1993-08-04,True,True,LEG_SPIN,True
Champions Trophy,Jamie Overton,England,,,,,,False
Champions Trophy,Rehan Ahmed,England,,,,,,False
Champions Trophy,Jofra Archer,England,English,1995-04-01,True,True,FAST_SEAM,True
Champions Trophy,Gus Atkinson,England,,,,,,False
Champions Trophy,Saqib Mahmood,England,English,1997-02-25,True,True,FAST_SEAM,True
Champions Trophy,Sourav Ganguly,India,Indian,1972-07-08,True,False,MEDIUM_SEAM,True
Champions Trophy,Sachin Tendulkar,India,Indian,1973-04-24,True,True,OFF_SPIN,True
Champions Trophy,Mohammad Azharuddin,India,Indian,1963-02-08,True,True,MEDIUM_SEAM,True
Champions Trophy,Rahul Dravid,India,Indian,1973-01-11,True,True,OFF_SPIN,True
Champions Trophy,Ajay Jadeja,India,Indian,1971-02-01,True,True,MEDIUM_SEAM,True
Champions Trophy,Robin Singh,India,Trinidadian,1963-09-14,False,True,,True
Champions Trophy,Ajit Agarkar,India,Indian,1977-12-04,True,True,FAST_SEAM,True
Champions Trophy,Sunil Joshi,India,,,,,,False
Champions Trophy,Javagal Srinath,India,Indian,1969-08-31,True,True,FAST_SEAM,True
Champions Trophy,Nayan Mongia,India,Indian,1969-12-19,False,True,,True
Champions Trophy,Anil Kumble,India,Indian,1970-10-17,True,True,LEG_SPIN,True
Champions Trophy,Hemang Badani,India,,,,,,False
Champions Trophy,Vinod Kambli,India,Indian,1972-01-18,False,True,,True
Champions Trophy,Sridharan Sriram,India,,,,,,False
Champions Trophy,Yuvraj Singh,India,Indian,1981-12-12,False,False,ORTHODOX,True
Champions Trophy,Zaheer Khan,India,Indian,1978-10-07,False,True,FAST_SEAM,True
Champions Trophy,Venkatesh Prasad,India,Indian,1969-08-05,True,True,MEDIUM_SEAM,True
Champions Trophy,Vijay Dahiya,India,,,,,,False
Champions Trophy,VVS Laxman,India,,,,,,False
Champions Trophy,Virender Sehwag,India,Indian,1978-10-20,True,True,OFF_SPIN,True
Champions Trophy,Dinesh Mongia,India,Indian,1977-04-17,False,True,,True
Champions Trophy,Mohammad Kaif,India,Indian,1980-12-01,False,False,,True
Champions Trophy,Harbhajan Singh,India,Indian,1980-07-03,True,True,OFF_SPIN,True
Champions Trophy,Ashish Nehra,India,Indian,1979-04-29,False,True,MEDIUM_SEAM,True
Champions Trophy,Rohan Gavaskar,India,,,,,,False
Champions Trophy,Dinesh Karthik,India,Indian,1985-06-01,True,True,OFF_SPIN,True
Champions Trophy,Irfan Pathan,India,,,,,,False
Champions Trophy,Sreesanth,India,,,,,,False
Champions Trophy,RP Singh,India,,,,,,False
Champions Trophy,MS Dhoni,India,Indian,1981-07-07,True,True,MEDIUM_SEAM,True
Champions Trophy,Suresh Raina,India,Indian,1986-11-27,True,False,OFF_SPIN,True
Champions Trophy,Ramesh Powar,India,,,,,,False
Champions Trophy,Munaf Patel,India,Indian,1983-07-12,True,True,,True
Champions Trophy,Gautam Gambhir,India,Indian,1981-10-14,True,False,LEG_SPIN,True
Champions Trophy,Virat Kohli,India,Indian,1988-11-05,True,True,MEDIUM_SEAM,True
Champions Trophy,Abhishek Nayar,India,,,,,,False
Champions Trophy,Yusuf Pathan,India,Indian,1982-11-17,False,True,,True
Champions Trophy,Praveen Kumar,India,,,,,,False
Champions Trophy,Amit Mishra,India,Indian,1982-11-24,True,True,LEG_SPIN,True
Champions Trophy,Ishant Sharma,India,Indian,1988-09-02,True,True,FAST_SEAM,True
Champions Trophy,Shikhar Dhawan,India,Indian,1985-12-05,True,False,OFF_SPIN,True
Champions Trophy,Rohit Sharma,India,Indian,1987-04-30,True,True,OFF_SPIN,True
Champions Trophy,Murali Vijay,India,Indian,1984-04-01,False,False,,True
Champions Trophy,Ravichandran Ashwin,India,Indian,1986-09-17,True,True,OFF_SPIN,True
Champions Trophy,Ravindra Jadeja,India,Indian,1988-12-06,False,False,ORTHODOX,True
Champions Trophy,Bhuvneshwar Kumar,India,Indian,1990-02-05,True,True,MEDIUM_SEAM,True
Champions Trophy,Vinay Kumar,India,Indian,1984-02-12,True,True,,True
Champions Trophy,Umesh Yadav,India,Indian,1987-10-25,True,True,FAST_SEAM,True
Champions Trophy,Ajinkya Rahane,India,Indian,1988-06-06,True,True,MEDIUM_SEAM,True
Champions Trophy,Kedar Jadhav,India,Indian,1985-03-26,True,True,OFF_SPIN,True
Champions Trophy,Hardik Pandya,India,Indian,1993-10-11,True,True,MEDIUM_SEAM,True
Champions Trophy,Jasprit Bumrah,India,Indian,1993-12-06,True,True,FAST_SEAM,True
Champions Trophy,Mohammed Shami,India,Indian,1990-09-03,True,True,FAST_SEAM,True
Champions Trophy,Shubman Gill,India,Indian,1999-09-08,True,True,OFF_SPIN,True
Champions Trophy,Shreyas Iyer,India,Indian,1994-12-06,True,True,LEG_SPIN,True
Champions Trophy,Rishabh Pant,India,IN,1997-10-04,True,False,,True
Champions Trophy,KL Rahul,India,Indian,1992-04-18,True,True,,True
Champions Trophy,Axar Patel,India,Indian,1994-01-20,False,False,ORTHODOX,True
Champions Trophy,Washington Sundar,India,Indian,1999-10-05,True,False,OFF_SPIN,True
Champions Trophy,Arshdeep Singh,India,,,,,,False
Champions Trophy,Harshit Rana,India,,,,,,False
Champions Trophy,Kuldeep Yadav,India,Indian,1994-12-14,False,False,UNORTHODOX,True
Champions Trophy,Varun Chakravarthy,India,,,,,,False
Champions Trophy,Hitesh Modi,Kenya,,,,,,False
Champions Trophy,Kennedy Otieno,Kenya,Kenyan,1972-03-11,False,True,,True
Champions Trophy,Ravi Shah,Kenya,,,,,,False
Champions Trophy,Maurice Odumbe,Kenya,Kenyan,1969-06-15,False,True,,True
Champions Trophy,Thomas Odoyo,Kenya,Kenyan,1978-05-12,True,True,MEDIUM_SEAM,True
Champions Trophy,Tony Suji,Kenya,Kenyan,1976-02-05,False,True,,True
Champions Trophy,Steve Tikolo,Kenya,Kenyan,1971-06-25,False,True,,True
Champions Trophy,Jimmy Kamande,Kenya,Kenyan,1978-12-12,False,True,,True
Champions Trophy,Peter Ongondo,Kenya,Kenyan,1977-02-10,False,True,,True
Champions Trophy,Lameck Onyango,Kenya,,,,,,False
Champions Trophy,Martin Suji,Kenya,Kenyan,1971-06-02,False,True,,True
Champions Trophy,Josephat Ababu,Kenya,,,,,,False
Champions Trophy,Mohammad Sheikh,Kenya,Kenyan,1980-08-29,False,True,,True
Champions Trophy,Brijal Patel,Kenya,Kenyan,1977-11-14,False,True,,True
Champions Trophy,David Obuya,Kenya,Kenyan,1979-08-14,False,True,,True
Champions Trophy,Collins Obuya,Kenya,Kenyan,1981-07-27,False,True,,True
Champions Trophy,Joseph Angara,Kenya,Kenyan,1971-11-08,False,True,,True
Champions Trophy,Malhar Patel,Kenya,,,,,,False
Champions Trophy,Ragheb Aga,Kenya,,,,,,False
Champions Trophy,Morris Ouma,Kenya,Kenyan,1982-11-08,False,True,,True
Champions Trophy,Robert van Oosterom,Netherlands,Dutch,1968-10-16,False,True,,True
Champions Trophy,Henk-Jan Mol,Netherlands,Dutch,1977-03-29,False,True,,True
Champions Trophy,Feiko Kloppenburg,Netherlands,Dutch,1974-06-19,False,True,,True
Champions Trophy,Daan van Bunge,Netherlands,Dutch,1982-10-19,False,True,,True
Champions Trophy,Bas Zuiderent,Netherlands,,,,,,False
Champions Trophy,Tim de Leede,Netherlands,Dutch,1968-01-25,False,True,,True
Champions Trophy,Reinout Scholte,Netherlands,Dutch,1967-08-10,False,True,,True
Champions Trophy,Luuk van Troost,Netherlands,,,,,,False
Champions Trophy,Jacob-Jan Esmeijer,Netherlands,Dutch,1972-05-28,False,True,,True
Champions Trophy,Adeel Raja,Netherlands,Pakistani,1980-08-15,False,True,,True
Champions Trophy,Edgar Schiferli,Netherlands,Dutch,1976-05-17,False,True,,True
Champions Trophy,Roland Lefebvre,Netherlands,Dutch,1963-02-07,False,True,,True
Champions Trophy,Victor Grandia,Netherlands,,,,,,False
Champions Trophy,Matthew Bell,New Zealand,,,,,,False
Champions Trophy,Nathan Astle,New Zealand,New Zealander,1971-09-15,True,True,MEDIUM_SEAM,True
Champions Trophy,Steven Fleming,New Zealand,New Zealander,1973-04-01,False,True,OFF_SPIN,True
Champions Trophy,Craig McMillan,New Zealand,New Zealander,1976-09-13,True,True,MEDIUM_SEAM,True
Champions Trophy,Adam Parore,New Zealand,New Zealander,1971-01-23,False,True,,True
Champions Trophy,Chris Harris,New Zealand,New Zealander,1969-11-20,True,True,MEDIUM_SEAM,True
Champions Trophy,Alex Tait,New Zealand,,,,,,False
Champions Trophy,Geoff Allott,New Zealand,New Zealander,1971-12-24,False,True,,True
Champions Trophy,Mark Bailey,New Zealand,,,,,,False
Champions Trophy,Daniel Vettori,New Zealand,New Zealander,1979-01-27,False,False,ORTHODOX,True
Champions Trophy,Simon Doull,New Zealand,,,,,,False
Champions Trophy,Paul Wiseman,New Zealand,,,,,,False
Champions Trophy,Stephen Fleming,New Zealand,New Zealander,1973-04-01,False,True,OFF_SPIN,True
Champions Trophy,Chris Nevin,New Zealand,,,,,,False
Champions Trophy,Craig Spearman,New Zealand,New Zealander,1972-07-04,False,True,,True
Champions Trophy,Roger Twose,New Zealand,English,1968-04-17,False,True,,True
Champions Trophy,Chris Cairns,New Zealand,New Zealander,1970-06-13,True,True,FAST_SEAM,True
Champions Trophy,Dion Nash,New Zealand,New Zealander,1971-11-20,False,True,,True
Champions Trophy,Scott Styris,New Zealand,New Zealander,1975-07-10,True,True,MEDIUM_SEAM,True
Champions Trophy,Glen Sulzberger,New Zealand,,,,,,False
Champions Trophy,Mathew Sinclair,New Zealand,Australian,1975-11-09,False,True,,True
Champions Trophy,Lou Vincent,New Zealand,New Zealander,1978-11-11,False,True,,True
Champions Trophy,Jacob Oram,New Zealand,New Zealander,1978-07-28,True,False,FAST_SEAM,True
Champions Trophy,Kyle Mills,New Zealand,New Zealander,1979-03-15,True,True,FAST_SEAM,True
Champions Trophy,Daryl Tuffey,New Zealand,New Zealander,1978-06-11,False,True,,True
Champions Trophy,Paul Hitchcock,New Zealand,,,,,,False
Champions Trophy,Shane Bond,New Zealand,New Zealander,1975-06-07,True,True,FAST_SEAM,True
Champions Trophy,Hamish Marshall,New Zealand,New Zealander,1979-02-15,False,True,,True
Champions Trophy,Brendon McCullum,New Zealand,New Zealander,1981-09-27,True,True,MEDIUM_SEAM,True
Champions Trophy,Peter Fulton,New Zealand,New Zealander,1979-02-01,False,True,,True
